,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,北京东方融创信息技术有限公司,东方融创,150-500人,未融资,朝阳区,java开发工程师,3-5年,大专,15k-20k,项目稳定发展好,移动互联网,开发|测试|运维类,,后端开发,北京
1,中国电信股份有限公司云计算分公司,中国电信云计算公司,500-2000人,上市公司,海珠区,研发专家（Java）0765,5-10年,本科,18k-36k,互联网薪酬 特大央企福利 技术氛围好,数据服务,开发|测试|运维类,"节日礼物,技能培训,白富美,绩效奖金",后端开发,广州
2,北京清一昌祺科技有限公司,朱李叶,50-150人,B轮,朝阳区,java高级开发工程师,3-5年,本科,20k-35k,团队实力优质、发展空间大、地铁周边、福利完善,在线医疗,开发|测试|运维类,,后端开发,北京
3,北京印象笔记科技有限公司,印象笔记,50-150人,A轮,朝阳区,java开发工程师,3-5年,本科,15k-30k,六险一金，超长假期,工具类产品,开发|测试|运维类,"高端医疗保险,交通补助,午餐补助,弹性工作",后端开发,北京
4,钉钉（中国）信息技术有限公司,钉钉,500-2000人,不需要融资,余杭区,Java开发工程师,在校/应届,本科,15k-30k,只能投一个部门哦,工具类产品,开发|测试|运维类,"梦想驱动,全新之路,大平台资源,创业前景",后端开发,杭州
5,中电金信软件有限公司,中电金信,2000人以上,不需要融资,金水区,java开发工程师,3-5年,本科,14k-18k,银行二代支付系统,"IT技术服务｜咨询,软件服务｜咨询",开发|测试|运维类,"带薪年假,定期体检,节日礼物,五险一金",后端开发,郑州
6,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,高级java开发工程师,5-10年,本科,18k-35k,五险一金，晋升制度,"物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",后端开发,杭州
7,深圳市华里网络科技有限公司,华里网络,50-150人,不需要融资,白云区,java工程师,5-10年,大专,10k-16k,长期稳定 发展空间大 住房补贴 年终奖,软件服务｜咨询,开发|测试|运维类,,后端开发,广州
8,杭州安恒信息技术股份有限公司,安恒信息,500-2000人,上市公司,,java高级开发工程师,5-10年,本科,15k-30k,上市公司，热门领域,"信息安全,IT技术服务｜咨询",开发|测试|运维类,"年终分红,股票期权,绩效奖金,五险一金",后端开发,杭州
9,北京安云世纪科技有限公司,360os,500-2000人,不需要融资,,java开发工程师,3-5年,不限,15k-30k,平台大，待遇好,信息安全,开发|测试|运维类,,后端开发,深圳
10,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,java开发工程师,3-5年,本科,15k-30k,很好的发展平台,"物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",后端开发,杭州
11,北京梦天门科技股份有限公司,梦天门,150-500人,不需要融资,朝阳区,java开发工程师,3-5年,本科,12k-18k,稳定行业，公共卫生,移动互联网,开发|测试|运维类,"绩效奖金,岗位晋升,五险一金,午餐补助",后端开发,北京
12,上海蜜度信息技术有限公司,新浪微舆情,500-2000人,C轮,浦东新区,java开发工程师,1-3年,大专,10k-15k,福利待遇好 团队氛围nice,数据服务｜咨询,开发|测试|运维类,"通讯津贴,交通补助,年底双薪,弹性工作",后端开发,上海
