,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,上海源犀信息科技有限公司,Linkflow,50-150人,A轮,徐汇区,运维工程师,不限,本科,17k-30k,发展前景，团队nice，长带薪年假，商业保险,软件服务｜咨询,开发|测试|运维类,"通讯津贴,交通补助,双休,弹性工作",运维,上海
1,成都冰河云存科技有限公司,冰河云存科技,50-150人,不需要融资,高新区,运维开发工程师,3-5年,本科,10k-15k,弹性上班 晋升空间 节日福利,IT技术服务｜咨询,开发|测试|运维类,"专项奖金,带薪年假,技能培训,岗位晋升",运维,成都
2,上海源犀信息科技有限公司,Linkflow,50-150人,A轮,江宁区,运维工程师,不限,本科,15k-28k,发展前景，团队nice，长带薪年假，商业保险,软件服务｜咨询,开发|测试|运维类,"通讯津贴,交通补助,双休,弹性工作",运维,南京
3,周生生(中国)商业有限公司,周生生ChowSangSang,2000人以上,上市公司,天河区,系统运维工程师,3-5年,大专,5k-6k,福利齐全,批发｜零售,开发|测试|运维类,"节日礼物,年底双薪,带薪年假,岗位晋升",运维,广州
4,上海莉莉丝科技股份有限公司,莉莉丝游戏,500-2000人,不需要融资,闵行区,运维工程师,3-5年,本科,10k-20k,"弹性工作,福利待遇好,工作氛围好,团建",游戏,开发|测试|运维类,"项目奖金,零食无限量,牛逼的同事,境外旅游",运维,上海
5,北京中科智加科技有限公司,中科智加,50-150人,不需要融资,海淀区,系统运维工程师,1-3年,本科,8k-15k,中科院自动所旗下语音智能处理产业化公司,"人工智能服务,数据服务｜咨询",开发|测试|运维类,,运维,北京
6,成都冰河云存科技有限公司,冰河云存科技,50-150人,不需要融资,高新区,系统运维工程师,3-5年,本科,13k-18k,弹性上班 晋升空间 节日福利,IT技术服务｜咨询,开发|测试|运维类,"专项奖金,带薪年假,技能培训,岗位晋升",运维,成都
7,伯恩光学（惠州）有限公司,伯恩光学,2000人以上,未融资,坪山新区,系统运维工程师,1-3年,本科,7k-10k,丰富项目经验，发挥所长,其他,开发|测试|运维类,,运维,深圳
8,武汉小药药医药科技有限公司,小药药集团,2000人以上,D轮及以上,朝阳区,系统运维工程师,5-10年,本科,20k-40k,公司有前景,医疗丨健康,开发|测试|运维类,"定期体检,带薪年假,弹性工作,年度旅游",运维,北京
9,北京中科智加科技有限公司,中科智加,50-150人,不需要融资,渝北区,系统运维工程师,1-3年,本科,6k-12k,中科院自动所旗下语音智能处理产业化公司,"人工智能服务,数据服务｜咨询",开发|测试|运维类,,运维,重庆
10,深圳市东方大唐信息咨询有限公司,东方大唐,50-150人,A轮,东湖新技术开发区,运维工程师,3-5年,本科,12k-23k,外资企业、办公环境好、薪资福利好,"金融,数据服务",开发|测试|运维类,,运维,武汉
11,北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,运维工程师,5-10年,本科,15k-30k,福利待遇好，周末双休，发展空间大,"工具类产品,在线教育",开发|测试|运维类,"五险一金,弹性工作,带薪年假,免费两餐",运维,北京
12,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,南山区,高级运维工程师,3-5年,本科,20k-40k,行业前景好，五险一金，年终奖,"物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",运维,深圳
13,四川省明厚天信息技术股份有限公司,明厚天股份,150-500人,上市公司,锦江区,运维工程师,3-5年,本科,8k-11k,企业发展潜力、广阔发展前景、扁平化团队管,"IT技术服务｜咨询,人工智能服务",开发|测试|运维类,,运维,成都
