,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,深圳市众云网有限公司,众云网,50-150人,不需要融资,南山区,PHP开发工程师,3-5年,本科,10k-16k,"团队氛围好,五险一金,周末双休",人工智能服务,开发|测试|运维类,"节日礼物,股票期权,带薪年假,绩效奖金",后端开发,深圳
1,深圳市众云网有限公司,众云网,50-150人,不需要融资,南山区,php开发工程师,1-3年,本科,10k-15k,双休 国内外旅游,人工智能服务,开发|测试|运维类,"节日礼物,股票期权,带薪年假,绩效奖金",后端开发,深圳
2,北京泛为信息科技有限公司,泛为,150-500人,不需要融资,浦东新区,php开发工程师,1-3年,本科,15k-25k,零食下午茶、绩效奖金、团队大牛多、团队氛围好,营销服务｜咨询,开发|测试|运维类,"带薪年假,午餐补助,弹性工作,免费班车",后端开发,上海
3,数贸科技（北京）有限公司,敦煌网,500-2000人,D轮及以上,海淀区,php开发工程师,3-5年,本科,15k-25k,学习机会,电商平台,开发|测试|运维类,"带薪年假,定期体检,绩效奖金,年终分红",后端开发,北京
4,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,海淀区,php开发工程师,5-10年,本科,25k-50k,免费三餐,居住服务,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,扁平管理",后端开发,北京
5,上海集行物流科技有限公司,集行神州,50-150人,天使轮,宝山区,php工程师,3-5年,本科,15k-25k,清晰的晋升体系和期权奖励,移动互联网,开发|测试|运维类,,后端开发,上海
6,成都博彦软件技术有限公司,博彦科技,2000人以上,上市公司,南山区,php开发工程师,1-3年,大专,12k-14k,发展前景广,IT技术服务｜咨询,开发|测试|运维类,,后端开发,深圳
7,51JOB-安徽策创网络科技有限公司,51JOB-安徽策创网络科技有限公司,15-50人,不需要融资,田家庵区,PHP开发工程师,1-3年,大专,5k-10k,PHP,软件开发,开发|测试|运维类,,后端开发,淮南
8,常相伴（武汉）科技有限公司,伴伴,500-2000人,不需要融资,番禺区,高级php开发工程师,3-5年,本科,20k-40k,时间自由，工作环境好，发展空间大,社交平台,开发|测试|运维类,"午餐补助,弹性工作,扁平管理,带薪年假",后端开发,广州
9,武汉朗蕴科技有限公司,朗蕴科技,50-150人,未融资,武汉经济技术开发区,php开发工程师,1-3年,大专,8k-12k,五险一金、周末双休、定期体检、团队旅游,软件服务｜咨询,开发|测试|运维类,"带薪年假,定期体检,周末双休,五险一金",后端开发,武汉
10,上海游盾网络科技有限公司,上海游盾,15-50人,不需要融资,普陀区,php开发工程师,3-5年,本科,18k-25k,"转正餐补,节日福利,年度旅游,五险一金","科技金融,软件服务｜咨询",开发|测试|运维类,"午餐补助,扁平管理,交通便利,工作环境好",后端开发,上海
11,武汉牛赞赞科技有限公司,牛赞赞,50-150人,未融资,洪山区,php开发工程师,3-5年,大专,8k-13k,单双休 五险 节假日福利 团建,电商,开发|测试|运维类,,后端开发,武汉
12,深圳市甜筒网络科技有限公司,甜筒科技,15-50人,不需要融资,南山区,php开发工程师,1-3年,本科,8k-12k,周末双休 晋升空间大,社交平台,开发|测试|运维类,"绩效奖金,年终分红,领导好,带薪年假",后端开发,深圳
13,北京萌宝教育科技有限公司,萌宝教育,150-500人,不需要融资,朝阳区,高级php开发工程师,5-10年,本科,25k-40k,平台发展好 升值空间大 千万级用户,在线教育,开发|测试|运维类,"年底双薪,带薪年假,定期体检,专项奖金",后端开发,北京
14,建顺信息科技（广州）有限公司,建顺信息,50-150人,B轮,天河区,PHP开发工程师,3-5年,大专,10k-14k,弹性工作 五险一金 年终奖金 双休,"软件服务｜咨询,物流平台",开发|测试|运维类,"带薪年假,弹性工作,领导好,五险一金",后端开发,广州
15,重庆爱奥尼科技有限公司,爱奥尼科技,15-50人,未融资,江北区,高级PHP工程师,3-5年,大专,10k-16k,"双休,五险一金,自营APP产品,高并发,股权","信息安全,其他",开发|测试|运维类,"技能培训,年底双薪,节日礼物,绩效奖金",后端开发,重庆
16,四川富为科技有限公司,富为科技,15-50人,不需要融资,锦江区,PHP开发工程师,3-5年,大专,8k-15k,项目稳定 福利好 带薪年假 入职六险一金,消费生活,开发|测试|运维类,,企业软件,成都
17,北京群鲜荟萃科技有限公司,北京群鲜荟萃科技有限公司,2000人以上,C轮,朝阳区,php开发工程师,3-5年,本科,25k-50k,绩效奖金。年终奖、股票期权,不限,开发|测试|运维类,"弹性工作,领导好,帅哥多,扁平管理",后端开发,北京
18,厦门千时科技有限公司,久趣英语,500-2000人,C轮,朝阳区,php工程师,3-5年,本科,15k-30k,六险一金、周末双休、弹性工作、过节费等,在线教育,开发|测试|运维类,"带薪年假,年度旅游,管理规范,领导好",后端开发,北京
19,深圳市甜筒网络科技有限公司,甜筒科技,15-50人,不需要融资,南山区,php开发工程师,1-3年,本科,10k-15k,福利待遇好 薪资提升快 发展平台广,社交平台,开发|测试|运维类,"绩效奖金,年终分红,领导好,带薪年假",后端开发,深圳
20,杭州多麦电子商务股份有限公司,多麦,150-500人,上市公司,江干区,php开发工程师,不限,本科,8k-15k,朝九晚五点半 双休 团队氛围NICE,营销服务｜咨询,开发|测试|运维类,"节日礼物,氛围好,发展好,年度旅游",后端开发,杭州
21,纳恩博（北京）科技有限公司,九号公司,2000人以上,C轮,海淀区,高级php开发工程师,5-10年,本科,20k-40k,大牛团队 黑科技,"硬件,其他",开发|测试|运维类,"节日礼物,带薪年假,定期体检,五险一金",后端开发,北京
22,北京乐享互动网络科技股份有限公司,乐享互动,50-150人,上市公司,朝阳区,php开发工程师,3-5年,大专,9k-15k,五险一金、团建,游戏,开发|测试|运维类,,后端开发,北京
23,上海华钦信息科技股份有限公司,CLPS,500-2000人,上市公司,闵行区,php开发工程师,3-5年,本科,12k-15k,六险一金、中国500强企业,软件服务｜咨询,开发|测试|运维类,"专项奖金,带薪年假,定期体检,交通补助",后端开发,上海
24,数睿科技（深圳）有限公司,数睿科技,150-500人,上市公司,福田区,PHP开发工程师,3-5年,大专,15k-20k,上市公司、高大上环境、高奖金、年轻化团队,生活服务,开发|测试|运维类,"年底双薪,绩效奖金,股票期权,五险一金",后端开发,深圳
25,广州市互信网络科技有限公司,互信网络,15-50人,未融资,天河区,php开发工程师,不限,不限,3k-5k,团队实力强，发展前景大,IT技术服务｜咨询,开发|测试|运维类,,后端开发,广州
26,新浪网技术（中国）有限公司,新浪网,2000人以上,上市公司,海淀区,高级PHP开发工程师,3-5年,本科,18k-30k,"七险一金,年14薪,竞争力薪资,免费班车","内容资讯,社交媒体",开发|测试|运维类,"免费班车,岗位晋升,五险一金,定期体检",后端开发,北京
27,广西北海利博盛安全用品有限公司上海分公司,利博盛,500-2000人,不需要融资,浦东新区,php工程师,3-5年,本科,15k-20k,氛围佳，有自由度，鼓励新技术，有学习空间。965,"电商平台,贸易｜进出口,制造业",开发|测试|运维类,"带薪年假,定期体检,节日礼物,年度旅游",后端开发,上海
28,北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,西城区,PHP,3-5年,大专,15k-30k,五险一金 补充医疗 节日福利 员工旅游,在线教育,开发|测试|运维类,"节日礼物,技能培训,节日礼品卡,月度团建",后端开发,北京
29,上海花千树信息科技有限公司北京分公司,世纪佳缘,2000人以上,上市公司,朝阳区,php开发工程师,1-3年,本科,10k-15k,六险一金、餐补、稳定发展、团队nice,社交平台,开发|测试|运维类,"节日礼物,技能培训,绩效奖金,岗位晋升",后端开发,北京
30,上海花千树信息科技有限公司北京分公司,世纪佳缘,2000人以上,上市公司,朝阳区,php开发工程师,1-3年,本科,10k-20k,六险一金、餐补、稳定发展、团队nice,社交平台,开发|测试|运维类,"节日礼物,技能培训,绩效奖金,岗位晋升",后端开发,北京
31,北京点石经纬科技有限公司,OKAY智慧教育,500-2000人,B轮,海淀区,PHP开发工程师,1-3年,本科,20k-35k,K12教育 硬软件结合 AI智慧教育,"工具类产品,人工智能服务",开发|测试|运维类,"五险一金,带薪年假,节日礼物,午餐补助",后端开发,北京
32,广东快乐种子科技有限公司,快乐种子,2000人以上,B轮,越秀区,高级PHP开发工程师,5-10年,本科,15k-25k,互联**育行业前景好,在线教育,开发|测试|运维类,"专项奖金,股票期权,绩效奖金,带薪年假",后端开发,广州
33,珍岛信息技术（上海）股份有限公司,珍岛集团,2000人以上,A轮,静安区,php开发工程师,3-5年,本科,15k-30k,晋升空间大，有技术大牛,"移动互联网,企业服务",开发|测试|运维类,"绩效奖金,通讯津贴,带薪年假,节日礼物",后端开发,上海
34,北京怦然心动科技有限公司,怦然心动,15-50人,不需要融资,海淀区,php开发工程师,3-5年,本科,11k-20k,年底双薪 弹性工作 六险一金 交通便利,"游戏,工具类产品",开发|测试|运维类,"节日礼物,股票期权,岗位晋升,扁平管理",后端开发,北京
35,广州细刻网络科技有限公司,细刻科技,500-2000人,A轮,番禺区,php开发工程师,3-5年,本科,15k-20k,五险一金 晋升机制 带薪年假 多次调薪,电商平台,开发|测试|运维类,,后端开发,广州
36,广东快乐种子科技有限公司,快乐种子,2000人以上,B轮,越秀区,PHP开发工程师,3-5年,本科,15k-25k,互联**育行业前景好,在线教育,开发|测试|运维类,"专项奖金,股票期权,绩效奖金,带薪年假",后端开发,广州
37,北京万象新动移动科技有限公司,万象新动,50-150人,上市公司,东城区,PHP开发工程师,1-3年,本科,10k-15k,"上市公司,发展空间,福利待遇,公司氛围",营销服务｜咨询,开发|测试|运维类,"节日礼物,带薪年假,领导好,美女多",后端开发,北京
38,广州织点智能科技有限公司,织点智能,50-150人,A轮,海珠区,PHP开发工程师,3-5年,大专,12k-18k,"双休,六险一金,弹性工作,扁平管理","智能硬件,物联网",开发|测试|运维类,"午餐补助,六险一金,弹性考勤,扁平管理",后端开发,广州
39,广州烁日信息科技有限公司,烁日信息,50-150人,未融资,天河区,php开发工程师,1-3年,大专,8k-15k,五险一金，包餐，下午茶，全勤奖，成长快、大小周,游戏,开发|测试|运维类,"定期体检,项目奖金,包午晚餐,全勤奖",后端开发,广州
40,上海中彦信息科技股份有限公司,返利网,500-2000人,C轮,徐汇区,php开发工程师,5-10年,本科,15k-28k,大平台 发展空间大 领导nice 团队氛围好,电商平台,开发|测试|运维类,"五险一金,股票期权,专项奖金,带薪年假",后端开发,上海
41,上海幂集软件有限公司,幂集软件,50-150人,不需要融资,杨浦区,php开发工程师,不限,本科,15k-30k,氛围佳、福利好、假期多,文化传媒,开发|测试|运维类,"年底双薪,带薪年假,午餐补助,定期体检",后端开发,上海
42,畅销家（深圳）科技有限公司,畅销家,15-50人,不需要融资,龙岗区,php工程师,1-3年,大专,8k-13k,"前景好，氛围好,成长快","软件服务｜咨询,营销服务｜咨询",开发|测试|运维类,"带薪年假,扁平管理,免费健身房,生日会",后端开发,深圳
43,成都华文科技有限公司,华文科技,15-50人,不需要融资,高新区,php开发工程师,1-3年,本科,10k-15k,朝九晚六、前景行业、扁平化管理、年轻团队,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"技能培训,最具创意,绩效奖金,岗位晋升",后端开发,成都
44,深圳市盈河星球喵教育科技有限公司,星球喵,150-500人,B轮,福田区,php开发工程师,3-5年,本科,13k-20k,晋升空间大、薪酬福利丰厚、周末双休、近地铁口,"在线教育,专业服务｜咨询",开发|测试|运维类,"绩效奖金,带薪年假,节日礼物,技能培训",后端开发,深圳
45,深圳金汇财富金融服务有限公司北京研发分公司,深圳金汇财富金融服务有限公司北京研发分公司,15-50人,不需要融资,海淀区,php开发工程师,1-3年,本科,10k-16k,节日福利/年底双薪/年终奖金/年度调薪,科技金融,开发|测试|运维类,"带薪年假,团队nice,扁平管理,通讯津贴",后端开发,北京
46,深圳市玖昔科技发展股份有限公司,玖昔科技,50-150人,B轮,南山区,php开发工程师,3-5年,本科,13k-25k,"项目前景好,五险一金,内部气氛好",软件服务｜咨询,开发|测试|运维类,"全员专项奖金,绩效奖金,岗位晋升,扁平管理",后端开发,深圳
47,上海竟跃网络科技有限公司,捞月狗,50-150人,C轮,徐汇区,php开发工程师,1-3年,本科,15k-25k,扁平化管理，技术大牛指导,社交平台,开发|测试|运维类,"年底双薪,每天必打游戏,年度旅游,发放期权",后端开发,上海
