,title,district,area,orient,floor,price,city
0,整租·北欧印象 1室0厅 北,西城, 43㎡,北 , 低楼层 （28层）,4300 元/月,北京
1,整租·风格与林苑 2室1厅 南,丰台, 57㎡,南 , 低楼层 （7层）,3300 元/月,北京
2,整租·悠胜美苑 2室2厅 西,东城, 100㎡,西 , 中楼层 （18层）,6800 元/月,北京
3,整租·银地家园 2室1厅 东南,丰台, 87㎡,东南 , 高楼层 （14层）,4800 元/月,北京
4,整租·长桥园公寓 3室2厅 东/南/北,通州, 147㎡,东 南 北 , 中楼层 （24层）,6500 元/月,北京
5,整租·观筑庭园 5室3厅 南/北,朝阳, 300㎡,南 北 , 低楼层 （3层）,21000 元/月,北京
6,整租·保利欣苑 3室1厅 南/北,丰台, 116㎡,南 北 , 高楼层 （9层）,7300 元/月,北京
7,整租·西山艺境华墅 3室2厅 南,门头沟, 250㎡,南 , 中楼层 （5层）,18000 元/月,北京
8,整租·盛鑫嘉园 4室1厅 东南,丰台, 168㎡,东南 , 中楼层 （22层）,11000 元/月,北京
9,整租·北大街南里 2室1厅 南/北,丰台, 65㎡,南 北 , 高楼层 （6层）,4900 元/月,北京
10,整租·绿地环球文化金融城 3房间 南,石景山, 58㎡,南 , 中楼层 （23层）,6000 元/月,北京
11,整租·蒲安西里 2室1厅 东/北,丰台, 56㎡,东 北 , 中楼层 （16层）,5300 元/月,北京
12,整租·鸿博家园F区二期 3室1厅 南/北,朝阳, 110㎡,南 北 , 高楼层 （27层）,6900 元/月,北京
13,整租·巴黎公寓 5室2厅 南/北,西城, 262㎡,南 北 , 高楼层 （5层）,50000 元/月,北京
14,整租·紫南家园 2室1厅 南/北,朝阳, 88㎡,南 北 , 中楼层 （7层）,6000 元/月,北京
15,整租·西坝河南里 2室1厅 南/北,朝阳, 60㎡,南 北 , 低楼层 （12层）,5800 元/月,北京
16,整租·万泉河62号院 2室1厅 南/北,海淀, 78㎡,南 北 , 地下室 （6层）,8500 元/月,北京
17,整租·中海九号公馆二区 3室2厅 南/北,丰台, 177㎡,南 北 , 中楼层 （18层）,20000 元/月,北京
