,title,district,area,orient,floor,price,city
0,整租·正成南郡 3室2厅 南,高新, 96㎡,南 , 低楼层 （17层）,3000 元/月,成都
1,合租·英郡一期 4居室 北卧,高新, 13㎡,北 , 低楼层 （18层）,1330 元/月,成都
2,整租·中海新华府 2室2厅 东南,成华, 67㎡,东南 , 高楼层 （40层）,3200 元/月,成都
3,合租·天和国际 4居室 西卧,高新, 13㎡,西 , 高楼层 （26层）,1260 元/月,成都
4,整租·龙湖三千里B区二期 3室1厅 南,成华, 90㎡,南 , 低楼层 （33层）,3100 元/月,成都
5,合租·蓝光凯丽香江 4居室 东卧,锦江, 10㎡,东 , 低楼层 （42层）,1160 元/月,成都
6,整租·东海花园 2室1厅 南,锦江, 89㎡,南 , 中楼层 （7层）,2600 元/月,成都
7,整租·仁和春天国际广场 1室1厅 东,高新, 46㎡,东 , 中楼层 （24层）,4100 元/月,成都
8,整租·东苑C区 4室1厅 东/南,高新, 154㎡,东 南 , 高楼层 （28层）,5600 元/月,成都
9,整租·龙湖三千城A区 3室2厅 南,成华, 94㎡,南 , 低楼层 （34层）,2700 元/月,成都
10,整租·春天大道 3室2厅 南,温江, 129㎡,南 , 中楼层 （24层）,2800 元/月,成都
11,合租·博瑞都市花园 3居室 东卧,青羊, 15㎡,东 , 高楼层 （6层）,1190 元/月,成都
12,整租·复地金融岛.商业 3室2厅 西,锦江, 235㎡,西 , 中楼层 （41层）,12000 元/月,成都
13,合租·光华馨地 4居室 北卧,青羊, 13㎡,北 , 中楼层 （11层）,1190 元/月,成都
14,整租·新鸿路342号院 2室1厅 东南,成华, 66㎡,东南 , 中楼层 （6层）,1300 元/月,成都
15,整租·交大万嘉季柳园 4室1厅 西北,郫都, 123㎡,西北 , 高楼层 （26层）,1800 元/月,成都
16,整租·恒大新城二期 3室2厅 南,温江, 129㎡,南 , 低楼层 （33层）,1800 元/月,成都
17,整租·皇冠花园 4室2厅 东南,青羊, 124㎡,东南 , 高楼层 （11层）,3400 元/月,成都
18,整租·西郡兰庭 3室2厅 南,郫都, 135㎡,南 , 中楼层 （17层）,2349 元/月,成都
19,整租·橙郡一期 2室1厅 南,高新西, 90㎡,南 , 中楼层 （17层）,2280 元/月,成都
20,整租·万科城市花园 3室1厅 南,锦江, 121㎡,南 , 中楼层 （6层）,4000 元/月,成都
21,合租·正黄上岭 3居室 北卧,武侯, 7㎡,北 , 低楼层 （22层）,1330 元/月,成都
22,整租·滨江公寓(锦江) 2室1厅 西南,锦江, 80㎡,西南 , 中楼层 （7层）,2500 元/月,成都
23,合租·摩卡筑 3居室 西卧,武侯, 9㎡,西 , 低楼层 （18层）,1290 元/月,成都
24,整租·翰林世家 3室1厅 东南,温江, 48㎡,东南 , 高楼层 （17层）,1800 元/月,成都
25,合租·博瑞都市花园 4居室 北卧,青羊, 16㎡,北 , 高楼层 （6层）,1660 元/月,成都
26,整租·月映长滩栖湖 6室4厅 东南,温江, 87㎡,东南 , 低楼层 （3层）,2000 元/月,成都
27,合租·蓝光凯丽香江 4居室 东卧,锦江, 9㎡,东 , 中楼层 （42层）,1030 元/月,成都
28,整租·格凌兰 3室1厅 西南,温江, 82㎡,西南 , 低楼层 （32层）,2000 元/月,成都
29,合租·蓝光凯丽美域 4居室 南卧,青羊, 15㎡,南 , 高楼层 （31层）,1260 元/月,成都
30,整租·人居锦尚春天A区 2室1厅 东南/南,锦江, 79㎡,东南 南 , 中楼层 （34层）,2000 元/月,成都
31,合租·金沙西园四期 3居室 西卧,青羊, 19㎡,西 , 低楼层 （26层）,1290 元/月,成都
32,整租·中房优山PLUS 3室2厅 东南,锦江, 95㎡,东南 , 中楼层 （31层）,3500 元/月,成都
33,合租·时代尊城 5居室 南卧,青羊, 18㎡,南 , 低楼层 （16层）,750 元/月,成都
34,整租·凯德风尚 2室1厅 南,青羊, 88㎡,南 , 低楼层 （19层）,2300 元/月,成都
35,合租·桐梓林壹号 5居室 南卧,高新, 25㎡,南 , 低楼层 （27层）,1600 元/月,成都
36,整租·华润二十四城一期 3室1厅 东南,成华, 90㎡,东南 , 高楼层 （32层）,3500 元/月,成都
37,整租·明信仕林府 3室2厅 东南,温江, 84㎡,东南 , 低楼层 （33层）,2000 元/月,成都
38,整租·传化国际商务区 2室2厅 西北,新都, 75㎡,西北 , 高楼层 （28层）,1500 元/月,成都
39,整租·橙郡一期 3室1厅 东南,高新西, 110㎡,东南 , 高楼层 （17层）,3100 元/月,成都
40,整租·隆鑫九熙 2室1厅 东,成华, 66㎡,东 , 中楼层 （34层）,3000 元/月,成都
41,合租·天府世家 5居室 南卧,高新, 25㎡,南 , 中楼层 （33层）,1900 元/月,成都
42,整租·橙郡一期 3室1厅 东南,高新西, 121㎡,东南 , 中楼层 （17层）,4500 元/月,成都
43,合租·金楠国际 4居室 北卧,武侯, 11㎡,北 , 低楼层 （7层）,1030 元/月,成都
44,整租·时代100 1室1厅 北,武侯, 63㎡,北 , 低楼层 （16层）,2300 元/月,成都
45,整租·中央花园二期 3室1厅 南,武侯, 91㎡,南 , 高楼层 （7层）,1600 元/月,成都
46,整租·誉峰三期 1室0厅 北,高新, 43㎡,北 , 高楼层 （28层）,3100 元/月,成都
47,整租·恒大城一期 3室1厅 南,温江, 93㎡,南 , 中楼层 （33层）,2200 元/月,成都
48,整租·上寓 1室0厅 西北,成华, 40㎡,西北 , 低楼层 （22层）,1500 元/月,成都
49,整租·川大花园（南园） 3室2厅 东南/南,武侯, 140㎡,东南 南 , 高楼层 （11层）,4500 元/月,成都
50,整租·滨江和城 3室1厅 南,天府新区, 68㎡,南 , 高楼层 （33层）,2500 元/月,成都
51,合租·御岭春天三期 4居室 东卧,龙泉驿, 15㎡,东 , 高楼层 （26层）,650 元/月,成都
52,整租·望江名门 3室2厅 东南,锦江, 296㎡,东南 , 中楼层 （29层）,30000 元/月,成都
53,合租·武侯花园 4居室 南卧,武侯, 18㎡,南 , 高楼层 （5层）,900 元/月,成都
54,整租·恒大天府半岛三期 3室2厅 南,天府新区, 114㎡,南 , 低楼层 （39层）,3000 元/月,成都
55,合租·丽都世家B区 3居室 南卧,武侯, 6㎡,南 , 高楼层 （17层）,1090 元/月,成都
56,整租·流星花园 1室1厅 东,锦江, 40㎡,东 , 高楼层 （16层）,3500 元/月,成都
57,合租·东苑C区 4居室 南卧,高新, 16㎡,南 , 低楼层 （30层）,850 元/月,成都
58,整租·华润时光里 3室1厅 西南,高新, 69㎡,西南 , 中楼层 （28层）,3600 元/月,成都
59,合租·金茂光明城市 4居室 西卧,天府新区, 9㎡,西 , 低楼层 （27层）,1090 元/月,成都
60,整租·泛林格兰晴天 3室1厅 东北,高新, 125㎡,东北 , 高楼层 （16层）,4300 元/月,成都
61,整租·香月湖 1室1厅 南,高新, 45㎡,南 , 中楼层 （16层）,2369 元/月,成都
62,整租·绿地中心云锦468 3室2厅 东南,锦江, 111㎡,东南 , 低楼层 （31层）,4500 元/月,成都
63,合租·卫雅苑 4居室 南卧,武侯, 20㎡,南 , 高楼层 （7层）,1050 元/月,成都
64,整租·艺墅花乡 2室1厅 南,武侯, 85㎡,南 , 高楼层 （16层）,3500 元/月,成都
65,整租·皇冠湖壹号 3室1厅 南,龙泉驿, 90㎡,南 , 低楼层 （32层）,2500 元/月,成都
66,整租·海珀香庭 3室2厅 东南,武侯, 177㎡,东南 , 高楼层 （11层）,6900 元/月,成都
67,整租·交大花园南苑 2室1厅 东南,武侯, 104㎡,东南 , 低楼层 （7层）,2800 元/月,成都
68,整租·华润二十四城一期 2室1厅 北,成华, 89㎡,北 , 中楼层 （32层）,3100 元/月,成都
69,整租·龙兴苑 3室1厅 南,龙泉驿, 79㎡,南 , 中楼层 （6层）,1000 元/月,成都
70,整租·万科理想城 4室1厅 西南,郫都, 89㎡,西南 , 低楼层 （27层）,2600 元/月,成都
71,整租·摩卡筑 2室1厅 东北,武侯, 70㎡,东北 , 低楼层 （18层）,3890 元/月,成都
72,整租·佳年华新生活A区 2室1厅 东南,温江, 79㎡,东南 , 低楼层 （31层）,1900 元/月,成都
73,合租·香月湖 5居室 南卧,高新, 28㎡,南 , 低楼层 （31层）,1200 元/月,成都
74,整租·新里维多利亚公寓 3室2厅 东南,高新, 143㎡,东南 , 高楼层 （13层）,5500 元/月,成都
75,整租·南湖国际社区 4室2厅 跃层 西南,天府新区, 157㎡,西南 , 高楼层 （34层）,6500 元/月,成都
76,整租·世豪瑞丽 1室1厅 南,高新, 47㎡,南 , 中楼层 （30层）,2000 元/月,成都
77,整租·永陵路13号 3室1厅 南,金牛, 94㎡,南 , 低楼层 （6层）,2750 元/月,成都
78,整租·上层建筑 3室1厅 东南,金牛, 132㎡,东南 , 低楼层 （27层）,3600 元/月,成都
79,整租·东山河畔 3室2厅 东南,龙泉驿, 93㎡,东南 , 低楼层 （18层）,1500 元/月,成都
80,整租·摩玛新城 1室0厅 南,成华, 42㎡,南 , 高楼层 （23层）,1700 元/月,成都
81,合租·人居盛和林语南区 4居室 南卧,高新, 16㎡,南 , 高楼层 （31层）,1200 元/月,成都
82,整租·朗基龙堂 1室1厅 西,青羊, 51㎡,西 , 中楼层 （26层）,1900 元/月,成都
83,整租·香月湖 1室1厅 跃层 南,高新, 40㎡,南 , 中楼层 （16层）,2300 元/月,成都
84,整租·千禧花园 3室1厅 跃层 东南,金牛, 134㎡,东南 , 高楼层 （6层）,3100 元/月,成都
85,合租·人居盛和林语南区 5居室 东南卧,高新, 16㎡,东南 , 中楼层 （31层）,1150 元/月,成都
86,整租·大陆西城秀筑 3室1厅 东,青羊, 95㎡,东 , 中楼层 （5层）,2500 元/月,成都
87,整租·东城映象A区 1室2厅 西南,成华, 56㎡,西南 , 中楼层 （18层）,2180 元/月,成都
88,整租·融创长滩壹号 4室1厅 南,双流, 224㎡,南 , 低楼层 （3层）,14350 元/月,成都
89,合租·首创天禧68 4居室 南卧,成华, 11㎡,南 , 中楼层 （33层）,850 元/月,成都
90,整租·韩国城三期 10室0厅 东/东南/南,双流, 560㎡,东 东南 南 , 高楼层 （18层）,18000 元/月,成都
91,合租·时代尊城 5居室 南卧,青羊, 16㎡,南 , 低楼层 （16层）,700 元/月,成都
92,整租·招商大魔方 3室1厅 南,高新, 136㎡,南 , 中楼层 （30层）,11000 元/月,成都
93,合租·蓝光凯丽美域 4居室 西卧,青羊, 9㎡,西 , 中楼层 （31层）,1030 元/月,成都
94,整租·国栋南园五星城 3室1厅 东北,双流, 73㎡,东北 , 中楼层 （13层）,3200 元/月,成都
95,合租·中铁西子香荷 3居室 西卧,青羊, 12㎡,西 , 高楼层 （33层）,1190 元/月,成都
96,整租·书香府邸二期英伦 3室1厅 东南,郫都, 110㎡,东南 , 中楼层 （16层）,3150 元/月,成都
97,整租·沙河源上金府 2室2厅 南,金牛, 88㎡,南 , 中楼层 （22层）,1600 元/月,成都
98,整租·西藏花园 4室1厅 南,武侯, 80㎡,南 , 高楼层 （7层）,3000 元/月,成都
99,整租·双楠谊苑二期二区 4室2厅 西南,武侯, 143㎡,西南 , 中楼层 （7层）,3900 元/月,成都
100,整租·景溪园 5室3厅 东南,青羊, 274㎡,东南 , 高楼层 （9层）,7300 元/月,成都
101,合租·卫雅苑 4居室 南卧,武侯, 18㎡,南 , 中楼层 （7层）,900 元/月,成都
102,整租·瀚林花园 3室2厅 东,成华, 108㎡,东 , 低楼层 （6层）,3000 元/月,成都
103,合租·御岭春天三期 4居室 东卧,龙泉驿, 15㎡,东 , 高楼层 （26层）,650 元/月,成都
104,整租·湟普国际 1室1厅 东南,温江, 55㎡,东南 , 高楼层 （32层）,1600 元/月,成都
105,整租·恒大都汇华庭 3室1厅 西南,锦江, 130㎡,西南 , 高楼层 （50层）,8000 元/月,成都
106,整租·首座 4室1厅 跃层 南/北,武侯, 231㎡,南 北 , 高楼层 （29层）,13000 元/月,成都
107,整租·中大君悦金沙一二期 3室2厅 东南,青羊, 90㎡,东南 , 高楼层 （18层）,3800 元/月,成都
108,整租·中海龙湾半岛 3室2厅 东,武侯, 121㎡,东 , 中楼层 （18层）,4700 元/月,成都
