,title,district,area,orient,floor,price,city
0,整租·山顶道壹号 2室1厅 东,渝北, 84㎡,东 , 低楼层 （33层）,2850 元/月,重庆
1,合租·山水一舍 4居室 东南卧,南岸, 25㎡,东南 , 中楼层 （27层）,700 元/月,重庆
2,整租·富力城天禧 3室2厅 南,沙坪坝, 89㎡,南 , 中楼层 （34层）,1500 元/月,重庆
3,整租·保利时代广场 1室0厅 LOFT 东南,九龙坡, 35㎡,东南 , 高楼层 （26层）,1350 元/月,重庆
4,整租·阳光100国际新城 2室1厅 西北,南岸, 105㎡,西北 , 中楼层 （34层）,3600 元/月,重庆
5,整租·华润凯旋天地 1室1厅 南/北,南岸, 38㎡,南 北 , 低楼层 （39层）,1250 元/月,重庆
6,整租·升伟一里南滨 1室1厅 南,南岸, 60㎡,南 , 高楼层 （32层）,1000 元/月,重庆
7,整租·富城大厦 5室2厅 东南,渝中, 143㎡,东南 , 高楼层 （24层）,5900 元/月,重庆
8,整租·保利天汇 5室2厅 南/北,江北, 161㎡,南 北 , 中楼层 （41层）,6500 元/月,重庆
9,整租·招商江湾城 4室2厅 南/北,江北, 190㎡,南 北 , 低楼层 （31层）,4000 元/月,重庆
10,整租·金阳牛津街 2室1厅 东南,沙坪坝, 90㎡,东南 , 高楼层 （31层）,2300 元/月,重庆
11,合租·万友康年 3居室 南卧,渝中, 15㎡,南 , 中楼层 （35层）,750 元/月,重庆
12,合租·彭家花园 4居室 南卧,渝中, 26㎡,南 , 高楼层 （10层）,700 元/月,重庆
13,整租·聚金万佳苑 3室2厅 东北,九龙坡, 95㎡,东北 , 中楼层 （33层）,2150 元/月,重庆
14,整租·北城国际中心 2室1厅 东南,渝北, 59㎡,东南 , 高楼层 （33层）,2300 元/月,重庆
15,整租·大地兴城 3室2厅 南/北,南岸, 141㎡,南 北 , 中楼层 （21层）,2300 元/月,重庆
16,整租·龙湖源著北区 1室1厅 北,江北, 52㎡,北 , 低楼层 （39层）,2000 元/月,重庆
17,整租·书香苑 1室0厅 北,渝中, 25㎡,北 , 低楼层 （30层）,1250 元/月,重庆
18,整租·加州1号 2室1厅 北,渝北, 81㎡,北 , 低楼层 （30层）,2600 元/月,重庆
19,整租·明发江南丽景 3室2厅 西南,南岸, 78㎡,西南 , 中楼层 （30层）,1700 元/月,重庆
20,整租·力帆枫樾 3室1厅 东南,渝北, 150㎡,东南 , 低楼层 （6层）,4500 元/月,重庆
