,title,district,area,orient,floor,price,city
0,整租·幸福e家五期 1室0厅 南,沙河口, 61㎡,南 , 中楼层 （20层）,2500 元/月,大连
1,合租·南昌平小区 3居室 东卧,沙河口, 18㎡,东 , 高楼层 （6层）,850 元/月,大连
2,整租·红梅小区 2室2厅 南/北,开发区, 88㎡,南 北 , 中楼层 （6层）,2400 元/月,大连
3,合租·小平岛海角七号 4居室 南卧,高新园区, 18㎡,南 , 低楼层 （32层）,800 元/月,大连
4,整租·新石道街 1室1厅 南,西岗, 38㎡,南 , 低楼层 （6层）,1200 元/月,大连
5,合租·亿达峦翠园 3居室 南卧,高新园区, 20㎡,南 , 高楼层 （25层）,1000 元/月,大连
6,整租·前城国际二期 1室1厅 南,西岗, 37㎡,南 , 中楼层 （12层）,2200 元/月,大连
7,整租·东港天鹅湾 1室1厅 南,中山, 44㎡,南 , 低楼层 （24层）,2900 元/月,大连
8,整租·世嘉星海 2室1厅 南/北,沙河口, 92㎡,南 北 , 中楼层 （8层）,4800 元/月,大连
9,整租·北欧假日 1室0厅 西,开发区, 47㎡,西 , 中楼层 （35层）,1700 元/月,大连
10,整租·安盛花园（金州） 1室1厅 西,金州, 37㎡,西 , 高楼层 （19层）,1300 元/月,大连
11,合租·北昌平小区 3居室 东卧,沙河口, 18㎡,东 , 高楼层 （6层）,800 元/月,大连
12,整租·亿达云集公寓 2室1厅 复式 南/北,中山, 51㎡,南 北 , 低楼层 （7层）,3500 元/月,大连
13,合租·软件园小区 4居室 南卧,高新园区, 23㎡,南 , 高楼层 （6层）,1000 元/月,大连
14,整租·东方星海 1室1厅 东南,沙河口, 55㎡,东南 , 高楼层 （30层）,3200 元/月,大连
15,整租·兴达花园 2室1厅 南/北,甘井子, 70㎡,南 北 , 中楼层 （6层）,2200 元/月,大连
16,整租·招商海德公园 4室2厅 南/北,甘井子, 125㎡,南 北 , 高楼层 （9层）,1700 元/月,大连
17,整租·东特新天地 1室1厅 复式 东南,甘井子, 37㎡,东南 , 中楼层 （12层）,1650 元/月,大连
18,整租·安盛花园 2室1厅 西,开发区, 60㎡,西 , 高楼层 （16层）,1800 元/月,大连
19,整租·万达高层 2室1厅 东/北,西岗, 68㎡,东 北 , 高楼层 （30层）,2100 元/月,大连
20,整租·小平岛海角七号 2室1厅 南,高新园区, 67㎡,南 , 高楼层 （34层）,3200 元/月,大连
21,合租·新新园一期 5居室 南卧,高新园区, 23㎡,南 , 高楼层 （6层）,950 元/月,大连
22,整租·大华锦绣华城一期 1室1厅 南,高新园区, 68㎡,南 , 中楼层 （26层）,3000 元/月,大连
23,合租·文荟小区 4居室 南卧,高新园区, 18㎡,南 , 高楼层 （7层）,700 元/月,大连
24,整租·王家村 2室1厅 南/北,高新园区, 66㎡,南 北 , 高楼层 （7层）,2100 元/月,大连
25,合租·亿达峦翠园 3居室 南卧,高新园区, 23㎡,南 , 高楼层 （25层）,1200 元/月,大连
26,整租·龙畔金泉四期 3室2厅 南/北,甘井子, 130㎡,南 北 , 低楼层 （6层）,4600 元/月,大连
27,合租·星浦庄园 5居室 南卧,沙河口, 21㎡,南 , 低楼层 （6层）,900 元/月,大连
28,整租·千山心城 2室2厅 南/北,甘井子, 89㎡,南 北 , 高楼层 （6层）,2300 元/月,大连
29,合租·大华爱琴湾 4居室 南卧,高新园区, 25㎡,南 , 高楼层 （31层）,1200 元/月,大连
30,整租·促进路 1室1厅 南/北,甘井子, 63㎡,南 北 , 中楼层 （8层）,1700 元/月,大连
31,合租·南昌平小区 3居室 东卧,沙河口, 18㎡,东 , 高楼层 （6层）,850 元/月,大连
32,整租·华发新城 2室1厅 南,旅顺口, 76㎡,南 , 高楼层 （31层）,1600 元/月,大连
33,合租·小平岛海角七号 4居室 南卧,高新园区, 18㎡,南 , 低楼层 （32层）,800 元/月,大连
34,整租·远洋钻石湾三期 2室1厅 南/北,甘井子, 85㎡,南 北 , 中楼层 （29层）,3300 元/月,大连
35,合租·亿达峦翠园 3居室 南卧,高新园区, 20㎡,南 , 高楼层 （25层）,1000 元/月,大连
36,整租·鑫境界 1室1厅 西北,甘井子, 55㎡,西北 , 高楼层 （11层）,2100 元/月,大连
37,整租·远洋广场 1室0厅 南,甘井子, 52㎡,南 , 中楼层 （30层）,2100 元/月,大连
38,整租·马栏小学北 2室1厅 南/北,沙河口, 53㎡,南 北 , 中楼层 （7层）,1600 元/月,大连
39,整租·新星帕尔美娜 2室2厅 南/北,甘井子, 85㎡,南 北 , 中楼层 （5层）,2500 元/月,大连
40,整租·远洋广场 2室1厅 东南,甘井子, 90㎡,东南 , 高楼层 （31层）,3500 元/月,大连
41,合租·北昌平小区 3居室 东卧,沙河口, 18㎡,东 , 高楼层 （6层）,800 元/月,大连
42,整租·中信丰悦城 1室0厅 南,中山, 60㎡,南 , 中楼层 （45层）,3200 元/月,大连
43,合租·软件园小区 4居室 南卧,高新园区, 23㎡,南 , 高楼层 （6层）,1000 元/月,大连
44,整租·春华街 2室0厅 东,中山, 45㎡,东 , 低楼层 （18层）,2000 元/月,大连
45,整租·鲁能泰山7号一期 2室2厅 南/北,金州, 79㎡,南 北 , 低楼层 （5层）,2300 元/月,大连
46,整租·红南小区 2室1厅 南/北,甘井子, 62㎡,南 北 , 高楼层 （7层）,1700 元/月,大连
47,整租·枫丹丽城 1室1厅 南,甘井子, 49㎡,南 , 高楼层 （18层）,2200 元/月,大连
48,整租·79中五四华庭 2室2厅 南/北,沙河口, 110㎡,南 北 , 低楼层 （27层）,5500 元/月,大连
49,整租·君悦豪庭 1室1厅 北,开发区, 52㎡,北 , 中楼层 （32层）,1700 元/月,大连
50,整租·由家村 1室1厅 南/北,高新园区, 56㎡,南 北 , 高楼层 （7层）,2000 元/月,大连
51,合租·新新园一期 5居室 南卧,高新园区, 23㎡,南 , 高楼层 （6层）,950 元/月,大连
52,整租·众益阳光海岸 6室2厅 南/北,开发区, 336㎡,南 北 , 高楼层 （18层）,12000 元/月,大连
53,合租·文荟小区 4居室 南卧,高新园区, 18㎡,南 , 高楼层 （7层）,700 元/月,大连
54,整租·侯一小区 2室1厅 南/北,沙河口, 55㎡,南 北 , 低楼层 （7层）,2000 元/月,大连
55,合租·亿达峦翠园 3居室 南卧,高新园区, 23㎡,南 , 高楼层 （25层）,1200 元/月,大连
56,整租·新青年印象 1室1厅 东南,金州, 53㎡,东南 , 低楼层 （27层）,1300 元/月,大连
57,合租·星浦庄园 5居室 南卧,沙河口, 21㎡,南 , 低楼层 （6层）,900 元/月,大连
58,整租·恒大御景湾 3室2厅 南/北,高新园区, 106㎡,南 北 , 中楼层 （33层）,5500 元/月,大连
59,合租·大华爱琴湾 4居室 南卧,高新园区, 25㎡,南 , 高楼层 （31层）,1200 元/月,大连
60,整租·华润二十四城 3室2厅 南/北,甘井子, 125㎡,南 北 , 中楼层 （5层）,2600 元/月,大连
61,合租·武昌花园 4居室 南卧,中山, 24㎡,南 , 高楼层 （6层）,950 元/月,大连
62,整租·恒德橄榄季 2室2厅 南/北,甘井子, 91㎡,南 北 , 中楼层 （11层）,3100 元/月,大连
63,合租·北京街北 3居室 东卧,西岗, 12㎡,东 , 中楼层 （7层）,780 元/月,大连
64,整租·玉丽街 2室2厅 南/北,甘井子, 90㎡,南 北 , 中楼层 （7层）,2050 元/月,大连
65,合租·北京街北 4居室 西卧,西岗, 8㎡,西 , 高楼层 （8层）,600 元/月,大连
66,整租·金石城 3室2厅 南/北,金州, 110㎡,南 北 , 高楼层 （5层）,6500 元/月,大连
67,整租·钰桥中央庭院 2室1厅 南,甘井子, 65㎡,南 , 高楼层 （17层）,1800 元/月,大连
