,title,district,area,orient,floor,price,city
0,整租·武威路118号 2室2厅 西南,七里河区, 70㎡,西南 , 高楼层 （8层）,1600 元/月,兰州
1,整租·伊真东城丽珠 1室1厅 东,城关区, 38㎡,东 , 低楼层 （34层）,2350 元/月,兰州
2,整租·政法新家属院 3室2厅 南/北,安宁区, 127㎡,南 北 , 低楼层 （33层）,2800 元/月,兰州
3,合租·榆中街94/96/98号 3居室 南卧,城关区,9,98号 , 低楼层 （9层）,1430 元/月,兰州
4,整租·金塔巷 2室2厅 南/北,城关区, 85㎡,南 北 , 中楼层 （6层）,2250 元/月,兰州
5,整租·盐场堡新区 1室1厅 南,城关区, 60㎡,南 , 中楼层 （18层）,2380 元/月,兰州
6,整租·定柏小区 2室1厅 南/北,城关区, 102㎡,南 北 , 高楼层 （5层）,1900 元/月,兰州
7,整租·闵家桥 2室1厅 东/西,城关区, 50㎡,东 西 , 高楼层 （8层）,1400 元/月,兰州
8,整租·民安大厦 1室0厅 南,城关区, 120㎡,南 , 中楼层 （17层）,6620 元/月,兰州
9,整租·天润大厦 2室2厅 东,城关区, 139㎡,东 , 低楼层 （26层）,3800 元/月,兰州
10,整租·省汽修二厂家属院 1室1厅 东,城关区, 50㎡,东 , 高楼层 （8层）,1300 元/月,兰州
11,整租·航天510所 1室1厅 南,城关区, 40㎡,南 , 高楼层 （8层）,2350 元/月,兰州
12,整租·盛世星座 3室2厅 南/北,七里河区, 180㎡,南 北 , 中楼层 （18层）,4000 元/月,兰州
13,合租·高新区均家滩综合家属楼 4居室 南卧,城关区, 20㎡,南 , 中楼层 （6层）,1030 元/月,兰州
14,整租·泰亨小区 3室2厅 南,城关区, 158㎡,南 , 高楼层 （8层）,3000 元/月,兰州
15,整租·银丰苑 2室2厅 南,安宁区, 109㎡,南 , 中楼层 （9层）,2450 元/月,兰州
16,整租·世纪广场 1室0厅 西/北,城关区, 223㎡,西 北 , 中楼层 （28层）,14500 元/月,兰州
17,整租·恒大帝景 3室2厅 南,七里河区, 116㎡,南 , 高楼层 （33层）,3500 元/月,兰州
18,整租·银信大厦 2室1厅 南,七里河区, 73㎡,南 , 中楼层 （19层）,4300 元/月,兰州
