,title,district,area,orient,floor,price,city
0,整租·紫晶龙华广场 2室1厅 南,浦口, 46㎡,南 , 高楼层 （12层）,2800 元/月,南京
1,合租·复地宴南都 4居室 南卧,秦淮, 13㎡,南 , 高楼层 （29层）,1490 元/月,南京
2,整租·星悦城 1室1厅 西,浦口, 35㎡,西 , 低楼层 （17层）,1400 元/月,南京
3,合租·东平雅苑 4居室 南卧,江宁, 14㎡,南 , 高楼层 （22层）,1360 元/月,南京
4,整租·江苏警官学院家属区 2室1厅 南,雨花台, 58㎡,南 , 中楼层 （5层）,2700 元/月,南京
5,合租·春江佳园 4居室 南卧,雨花台, 25㎡,南 , 中楼层 （6层）,1390 元/月,南京
6,整租·御道家园 1室1厅 复式 南,秦淮, 41㎡,南 , 高楼层 （5层）,4500 元/月,南京
7,整租·弘阳爱上城 3室1厅 南/北,浦口, 87㎡,南 北 , 高楼层 （10层）,1800 元/月,南京
8,整租·洪庙一巷19号 2室1厅 南/北,鼓楼, 60㎡,南 北 , 中楼层 （5层）,3200 元/月,南京
9,整租·紫萝苑 3室1厅 南/北,玄武, 78㎡,南 北 , 高楼层 （7层）,2300 元/月,南京
10,整租·弘阳时光里公寓 1室1厅 南,浦口, 35㎡,南 , 低楼层 （7层）,1600 元/月,南京
11,合租·威尼斯水城第四街区 4居室 东卧,浦口, 12㎡,东 , 中楼层 （11层）,700 元/月,南京
12,整租·九乡雅苑 3室1厅 南/北,江宁, 94㎡,南 北 , 中楼层 （11层）,2500 元/月,南京
13,合租·旭辉九著 4居室 北卧,江宁, 6㎡,北 , 中楼层 （32层）,930 元/月,南京
14,整租·江南青年城楚襄园 3室2厅 南,江宁, 95㎡,南 , 高楼层 （6层）,3700 元/月,南京
15,整租·郑和国际广场 3室2厅 南/北,鼓楼, 118㎡,南 北 , 中楼层 （31层）,6700 元/月,南京
16,整租·祁家桥 1室1厅 南,鼓楼, 40㎡,南 , 低楼层 （7层）,2200 元/月,南京
17,整租·龙江里 2室1厅 复式 东,鼓楼, 57㎡,东 , 中楼层 （16层）,5600 元/月,南京
18,整租·仁恒江湾城一期 2室1厅 南,建邺, 90㎡,南 , 中楼层 （33层）,7500 元/月,南京
19,整租·罗马假日 3室2厅 南,秦淮, 136㎡,南 , 低楼层 （33层）,7000 元/月,南京
20,整租·馨怡园 3室1厅 南,栖霞, 104㎡,南 , 高楼层 （11层）,3900 元/月,南京
21,合租·仙居华庭 4居室 北卧,玄武, 18㎡,北 , 中楼层 （5层）,1099 元/月,南京
22,整租·市政天元城 3室1厅 南,江宁, 124㎡,南 , 低楼层 （6层）,3800 元/月,南京
23,合租·同心佳园 4居室 南卧,浦口, 18㎡,南 , 低楼层 （11层）,1100 元/月,南京
24,整租·琅琊新村 3室2厅 南/北,鼓楼, 84㎡,南 北 , 低楼层 （7层）,6400 元/月,南京
25,合租·明发滨江新城大三期 4居室 东南卧,浦口, 20㎡,东南 , 高楼层 （33层）,850 元/月,南京
26,整租·新保弘领东苑 3室2厅 南,江宁, 89㎡,南 , 低楼层 （20层）,3200 元/月,南京
27,合租·萍聚村 3居室 北卧,鼓楼, 10㎡,北 , 低楼层 （5层）,1290 元/月,南京
28,整租·洪庙巷 2室1厅 南,鼓楼, 60㎡,南 , 低楼层 （7层）,3000 元/月,南京
29,合租·碧水湾西园 4居室 北卧,江宁, 11㎡,北 , 中楼层 （6层）,1230 元/月,南京
30,整租·亚东同城逸境 3室2厅 南,溧水, 140㎡,南 , 低楼层 （18层）,1600 元/月,南京
31,合租·万达茂 4居室 南卧,栖霞, 20㎡,南 , 高楼层 （19层）,750 元/月,南京
32,整租·奥体新城青桐园 3室1厅 东南/南,建邺, 136㎡,东南 南 , 低楼层 （18层）,6000 元/月,南京
33,合租·诚品城 4居室 南卧,栖霞, 12㎡,南 , 高楼层 （6层）,1330 元/月,南京
34,整租·万达茂 1室0厅 南,栖霞, 50㎡,南 , 高楼层 （39层）,2500 元/月,南京
35,合租·威尼斯水城第二街区 4居室 南卧,浦口, 16㎡,南 , 高楼层 （11层）,800 元/月,南京
36,整租·欣旺花苑 3室2厅 南,江宁, 96㎡,南 , 高楼层 （6层）,1400 元/月,南京
37,整租·碧景山庄 2室2厅 南/北,六合, 88㎡,南 北 , 低楼层 （17层）,1000 元/月,南京
38,整租·怡水嘉园 3室1厅 南,秦淮, 102㎡,南 , 中楼层 （11层）,3200 元/月,南京
39,整租·丰富路 2室1厅 南,秦淮, 57㎡,南 , 低楼层 （7层）,8100 元/月,南京
40,整租·日月大厦 4室1厅 东北,秦淮, 197㎡,东北 , 中楼层 （30层）,13000 元/月,南京
41,合租·威尼斯水城第十一街区 4居室 东南卧,浦口, 20㎡,东南 , 中楼层 （32层）,810 元/月,南京
42,整租·中航樾府 4室1厅 复式 南,江宁, 168㎡,南 , 高楼层 （12层）,7500 元/月,南京
43,合租·新城香悦澜山 4居室 南卧,栖霞, 20㎡,南 , 低楼层 （25层）,1000 元/月,南京
44,整租·证大喜玛拉雅中心 1室1厅 东,雨花台, 56㎡,东 , 中楼层 （26层）,3500 元/月,南京
45,整租·华润国际社区 4室2厅 南,浦口, 90㎡,南 , 中楼层 （33层）,2800 元/月,南京
46,整租·城市之光大厦 1室1厅 南,江宁, 58㎡,南 , 低楼层 （30层）,2400 元/月,南京
47,整租·水佐岗48巷3号院 2室1厅 东,鼓楼, 59㎡,东 , 高楼层 （7层）,2800 元/月,南京
