,title,district,area,orient,floor,price,city
0,整租·复兴村合作住宅小区 2室2厅 南/北,江汉, 91㎡,南 北 , 高楼层 （6层）,2400 元/月,武汉
1,合租·七里庙供电局宿舍 3居室 北卧,汉阳, 10㎡,北 , 中楼层 （33层）,960 元/月,武汉
2,整租·万科城花璟苑 3室2厅 南/西北,东湖高新, 91㎡,南 西北 , 中楼层 （34层）,3800 元/月,武汉
3,合租·太子水榭 5居室 南卧,汉阳, 15㎡,南 , 高楼层 （12层）,550 元/月,武汉
4,整租·绿地香树花城派克公馆 2室1厅 南/北,青山, 90㎡,南 北 , 中楼层 （47层）,2200 元/月,武汉
5,合租·绿地国际金融城二期 5居室 南卧,武昌, 40㎡,南 , 低楼层 （36层）,1400 元/月,武汉
6,整租·中建大公馆 3室2厅 南,东湖高新, 110㎡,南 , 低楼层 （48层）,4800 元/月,武汉
7,整租·金地澜菲溪岸 3室2厅 南,汉阳, 127㎡,南 , 中楼层 （34层）,1100 元/月,武汉
8,合租·中建南湖壹号 4居室 南卧,洪山, 15㎡,南 , 中楼层 （42层）,1450 元/月,武汉
9,整租·保利浅水湾 2室2厅 南,洪山, 86㎡,南 , 低楼层 （16层）,2400 元/月,武汉
10,合租·金地艺境 2居室 南卧,东湖高新, 123㎡,南 , 中楼层 （30层）,1100 元/月,武汉
11,合租·保利时代 4居室 东卧,东湖高新, 11㎡,东 , 高楼层 （34层）,1330 元/月,武汉
12,整租·万润橄榄城 3室1厅 南,黄陂, 96㎡,南 , 高楼层 （16层）,2050 元/月,武汉
13,合租·统建锦绣江南 3居室 北卧,武昌, 13㎡,北 , 中楼层 （11层）,1460 元/月,武汉
14,整租·中铁世纪金桥 3室2厅 西南,汉阳, 94㎡,西南 , 低楼层 （33层）,2450 元/月,武汉
15,整租·鯉跃龍门 3室2厅 南,汉阳, 123㎡,南 , 高楼层 （33层）,2400 元/月,武汉
16,整租·清能清江锦城三期 3室2厅 南,洪山, 98㎡,南 , 高楼层 （34层）,1200 元/月,武汉
17,合租·金地中心城 3居室 南卧,东湖高新, 13㎡,南 , 中楼层 （32层）,1390 元/月,武汉
18,整租·保利香槟国际 3室2厅 南,硚口, 89㎡,南 , 高楼层 （34层）,2800 元/月,武汉
19,合租·南湖鸿城家园 3居室 南卧,洪山, 16㎡,南 , 低楼层 （32层）,750 元/月,武汉
20,整租·福星惠誉红桥城 3室1厅 南/北,江岸, 60㎡,南 北 , 中楼层 （27层）,2500 元/月,武汉
21,合租·广电兰亭荣荟 4居室 南卧,硚口, 13㎡,南 , 高楼层 （47层）,930 元/月,武汉
22,整租·富丽豪廷 3室2厅 南/北,江夏, 139㎡,南 北 , 中楼层 （27层）,1600 元/月,武汉
23,合租·三角花园柳村小区 4居室 南卧,武昌, 22㎡,南 , 高楼层 （29层）,1100 元/月,武汉
24,整租·南车花园 3室2厅 南,江夏, 92㎡,南 , 中楼层 （32层）,2000 元/月,武汉
