,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,前锦网络信息技术（上海）有限公司,51JOB,2000人以上,上市公司,浦东新区,ios开发工程师,1-3年,本科,10k-18k,"五险一金,技术大牛,团队氛围好","移动互联网,企业服务",开发|测试|运维类,,移动前端开发,上海
1,重庆妙享网络技术股份有限公司,妙享技术,50-150人,未融资,渝中区,ios开发工程师,3-5年,大专,7k-13k,团队和谐,"移动互联网,社交",开发|测试|运维类,"带薪年假,弹性工作,节日礼物,领导好",移动前端开发,重庆
2,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,iOS工程师,1-3年,不限,10k-20k,"独角兽,不打卡","物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",移动前端开发,杭州
3,上海异工同智信息科技有限公司,异工同智,50-150人,A轮,浦东新区,ios开发工程师,1-3年,本科,10k-15k,定期体检、五险二金,IT技术服务｜咨询,开发|测试|运维类,"扁平管理,五险一金,弹性工作,定期体检",移动前端开发,上海
4,成都盯潮科技有限公司,成都盯潮科技有限公司,15-50人,A轮,武侯区,高级ios开发工程师,3-5年,大专,14k-20k,自研产品 潮流领域 团队氛围好 偶尔加班,"移动互联网,数据服务",开发|测试|运维类,"扁平管理,领导好,岗位晋升,股票期权",移动前端开发,成都
5,安徽米娱科技有限公司,米娱科技,50-150人,未融资,高新区,ios开发工程师,3-5年,本科,12k-22k,五险一金自研自运福利齐全,"内容社区,MCN｜直播平台",开发|测试|运维类,,移动前端开发,合肥
6,深圳鲲鹏天下科技有限公司,鲲天下,15-50人,不需要融资,南山区,ios开发工程师,5-10年,本科,15k-23k,环境优 福利好 发展前景好 资金充足,社交平台,开发|测试|运维类,"年底双薪,带薪年假,交通补助,午餐补助",移动前端开发,深圳
7,瑞庭网络技术（上海）有限公司,安居客,500-2000人,上市公司,,ios高级开发工程师,不限,本科,20k-40k,移动中台，有广阔的职业发展前景,居住服务,开发|测试|运维类,"年底双薪,绩效奖金,带薪年假,五险一金",移动前端开发,北京
8,深圳虾皮信息科技有限公司,Shopee,500-2000人,上市公司,南山区,iOS开发工程师,3-5年,本科,20k-40k,外企氛围，蓝海市场，大牛多多，15天年假,电商平台,开发|测试|运维类,"外企氛围,蓝海市场,大牛多多,15天年假",移动前端开发,深圳
9,深圳无觅科技有限公司,无秘,150-500人,B轮,南山区,高级ios开发工程师,5-10年,本科,40k-70k,"快速成长,待遇丰厚,团队优秀",社交平台,开发|测试|运维类,"高速增长,股票期权,小而精,扁平管理",移动前端开发,深圳
10,北京嘀嘀无限科技发展有限公司,滴滴,2000人以上,不需要融资,,ios高级开发工程师,3-5年,本科,25k-50k,大平台,旅游｜出行,开发|测试|运维类,"弹性工作,节日礼物,岗位晋升,技能培训",移动前端开发,北京
11,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,移动端(Android&amp;iOS)开发工程师-KA业务方向,3-5年,本科,15k-30k,智能家居,"物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",移动前端开发,杭州
12,北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,iOS开发工程师,1-3年,本科,15k-25k,硅谷氛围，高手云集，零食水果，六险一金,游戏,开发|测试|运维类,"带薪年假,定期体检,文化open,扁平化管理",移动前端开发,北京
13,深圳极联信息技术开发有限公司,极联开发,50-150人,未融资,,ios开发工程师,1-3年,本科,10k-15k,发展好 长期稳定,软件开发,开发|测试|运维类,,移动前端开发,深圳
14,武汉明昊杰通信有限公司,明昊杰通信,少于15人,不需要融资,,高级ios开发工程师,3-5年,本科,25k-35k,发展空间大,人工智能 物流丨运输,开发|测试|运维类,,移动前端开发,上海
15,上海新梨视网络科技有限公司,梨视频,500-2000人,A轮,静安区,ios中高级开发工程师,5-10年,本科,25k-35k,五险一金 带薪年假 团队nice等,"移动互联网,文娱丨内容",开发|测试|运维类,,移动前端开发,上海
16,上海我有券电子商务有限公司,我有券,15-50人,A轮,浦东新区,ios开发工程师,3-5年,大专,17k-20k,挑战与机遇 扁平化管理 老板NICE 氛围棒,"移动互联网,电商",开发|测试|运维类,"带薪年假,扁平管理,年终分红,交通便利",移动前端开发,上海
17,浙江齐聚科技有限公司北京分公司,齐聚科技（原呱呱视频）,150-500人,C轮,东城区,ios开发工程师,3-5年,本科,15k-25k,公司氛围福利好,"MCN｜直播平台,新媒体",开发|测试|运维类,"绩效奖金,五险一金,节日礼物,定期体检",移动前端开发,北京
18,杭州大名软件有限公司,大名软件,50-150人,不需要融资,西湖区,IOS开发工程师,1-3年,本科,10k-18k,发展前景，技术氛围，大牛团队,软件服务｜咨询,开发|测试|运维类,"技能培训,节日礼物,带薪年假,绩效奖金",移动前端开发,杭州
19,上海时溪信息技术有限公司,时溪信息,50-150人,未融资,浦东新区,ios开发工程师,3-5年,本科,16k-23k,大平台 领导nice,IT技术服务｜咨询,开发|测试|运维类,,移动前端开发,上海
