,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,光子瑞利科技（北京）有限公司,光子瑞利,15-50人,A轮,,python开发工程师,3-5年,本科,10k-15k,五险一金/项目奖金/定期团建/节日福利,信息安全,开发|测试|运维类,"股票期权,年终分红,扁平管理,管理规范",后端开发,北京
1,华云信息技术工程有限公司,华信,50-150人,不需要融资,,python开发工程师,1年以下,本科,6k-9k,五险一金，年终奖，法定年假，法定假日福利,"移动互联网,数据服务",开发|测试|运维类,"绩效奖金,带薪年假,气象,软件",后端开发,成都
2,龙湾科技（北京）有限公司,龙湾科技,150-500人,未融资,东丽区,python开发工程师,3-5年,本科,10k-15k,五险一金 周末双休 带薪年假 节日福利,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"年底双薪,交通补助,带薪年假,绩效奖金",后端开发,天津
3,杭州卡俄斯星科技有限公司,卡俄斯星,50-150人,未融资,浦东新区,python工程师,3-5年,本科,14k-17k,五险一金 带薪年假 高温补贴 团建补贴,IT技术服务｜咨询,开发|测试|运维类,,后端开发,上海
4,杭州宏景智驾科技有限公司,宏景智驾,15-50人,A轮,滨江区,python开发工程师,1-3年,硕士,10k-20k,年终奖金 带薪休假 扁平化管理 十五薪,汽车丨出行,开发|测试|运维类,"专精类企业,技术大牛团队,车联网创新,带薪年假",后端开发,杭州
5,成都盯潮科技有限公司,成都盯潮科技有限公司,15-50人,A轮,武侯区,Python工程师,3-5年,大专,15k-25k,自研产品 潮流领域 团队氛围好 偶尔加班,"移动互联网,数据服务",开发|测试|运维类,"扁平管理,领导好,岗位晋升,股票期权",数据开发,成都
6,北京奥式生活科技股份有限公司,奥式生活,50-150人,未融资,朝阳区,python开发工程师,3-5年,本科,15k-30k,五险一金、餐补、弹性打卡,"电商,医疗丨健康",开发|测试|运维类,,后端开发,北京
7,紫光云数科技有限公司,紫光云数,2000人以上,不需要融资,海淀区,python开发工程师,1-3年,本科,8k-10k,试用期全薪，年终奖 年度休假,软件服务｜咨询,开发|测试|运维类,"交通补助,定期体检,年底双薪,帅哥多",后端开发,北京
8,北京平方佳企业管理有限公司,北京平方佳企业管理有限公司,50-150人,未融资,朝阳区,python开发工程师,3-5年,本科,15k-25k,加班强度小,数据服务｜咨询,开发|测试|运维类,,后端开发,北京
9,中国民航信息网络股份有限公司重庆分公司,中国民航信息网络股份有限公司重庆分公司,500-2000人,上市公司,渝北区,python开发工程师,1-3年,本科,8k-12k,五险二金、带薪年假、工会福利、教育培训,生活服务,开发|测试|运维类,"年底双薪,绩效奖金,带薪年假,通讯津贴",后端开发,重庆
10,上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,python开发工程师,1-3年,本科,10k-15k,平安集团,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,,后端开发,上海
11,北京乐信圣文科技有限责任公司,乐信圣文,150-500人,不需要融资,海淀区,python开发工程师,3-5年,本科,20k-40k,快速成长，公司盈利,游戏,开发|测试|运维类,"年终奖,节日礼物,免费工作餐,六险一金",后端开发,北京
12,上海华钦信息科技股份有限公司,CLPS,500-2000人,上市公司,浦东新区,python,3-5年,本科,16k-25k,"待遇高,环境好,有前景",软件服务｜咨询,开发|测试|运维类,"专项奖金,带薪年假,定期体检,交通补助",后端开发,上海
13,深圳佑驾创新科技有限公司,MINIEYE,150-500人,C轮,南山区,Python工程师,1-3年,本科,15k-30k,"无人驾驶,海归团队,车厂合作,扁平管理",人工智能服务,开发|测试|运维类,"无人驾驶,国际标准,车厂合作,海归团队",后端开发,深圳
14,上海嗨普智能信息科技股份有限公司,Hypers,150-500人,上市公司,黄浦区,Python开发工程师,不限,不限,8k-15k,扁平化 成长快 氛围好,数据服务｜咨询,开发|测试|运维类,"绩效奖金,五险一金,带薪年假,年度旅游",后端开发,上海
15,湖南象盒网络科技有限公司,湖南象盒网络科技有限公司,2000人以上,未融资,雨花区,python开发工程师,1-3年,本科,8k-10k,公司重点项目,房产家居,开发|测试|运维类,,后端开发,长沙
16,北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,python开发工程师,1-3年,本科,10k-20k,上市大数据人工智能公司、与技术大牛共事,"人工智能服务,IT技术服务｜咨询",开发|测试|运维类,"节日礼物,年底双薪,带薪年假,午餐补助",后端开发,北京
17,深圳市链上时代信息科技有限公司,链上,15-50人,未融资,宝安区,python开发工程师,1-3年,大专,12k-20k,项目奖金 下午茶 不定时聚餐 加班补贴,科技金融,开发|测试|运维类,"绩效奖金,项目奖金,晋级调薪,年度调薪",后端开发,深圳
