,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,西安鲸鱼互动信息技术有限公司,鲸鱼互动,50-150人,未融资,高新技术产业开发区,web前端开发工程师,3-5年,本科,8k-13k,"周末双休,五险一金,晋升空间,带薪年假",移动互联网,开发|测试|运维类,"年底双薪,绩效奖金,带薪年假,节日礼物",前端开发,西安
1,重庆谊品弘科技有限公司,谊品生鲜,2000人以上,C轮,拱墅区,资深web前端,3-5年,本科,18k-30k,1,新零售,开发|测试|运维类,,前端开发,杭州
2,中国民航信息网络股份有限公司重庆分公司,中国民航信息网络股份有限公司重庆分公司,500-2000人,上市公司,渝北区,web前端开发工程师,1-3年,本科,8k-12k,五险二金、带薪年假、工会福利、教育培训,生活服务,开发|测试|运维类,"年底双薪,绩效奖金,带薪年假,通讯津贴",前端开发,重庆
3,上海莉莉丝科技股份有限公司,莉莉丝游戏,500-2000人,不需要融资,闵行区,Web前端开发工程师（广告）,3-5年,本科,18k-30k,核心项目 大牛云集 领导好 培训多,游戏,开发|测试|运维类,"项目奖金,零食无限量,牛逼的同事,境外旅游",前端开发,上海
4,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,高级web前端开发工程师,3-5年,本科,15k-30k,SaaS业务线大量招人,"物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",前端开发,杭州
5,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,南山区,前端高级开发工程师 (HyBrid/Web KA业务方向),3-5年,本科,15k-25k,弹性工作 独角兽 年度旅游 带薪年假,"物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",移动前端开发,深圳
6,上海幸福九号养老投资集团有限公司,幸福9号,2000人以上,未融资,,web前端开发工程师,不限,本科,20k-40k,福利待遇好,"电商平台,消费生活",开发|测试|运维类,,前端开发,深圳
7,北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,,WEB前端开发专家,5-10年,本科,35k-60k,.,在线教育,开发|测试|运维类,"上市公司,领军企业,五险一金,住福计划",前端开发,北京
8,上海魔芋网络科技有限公司,性能魔方,50-150人,上市公司,,web前端开发工程师（Web3D方向）,3-5年,本科,12k-24k,交通方便，饭补，通讯补贴,"数据服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"年底双薪,岗位晋升,扁平管理,领导好",前端开发,上海
9,上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,南山区,web前端开发工程师,3-5年,大专,11k-18k,双休，六险一金，技术环境好,IT技术服务｜咨询,开发|测试|运维类,"绩效奖金,带薪年假,定期体检,弹性工作",前端开发,深圳
