,title,district,area,orient,floor,price,city
0,整租·恒大城 3室2厅 东南,白云区, 112㎡,东南 , 高楼层 （32层）,1800 元/月,贵阳
1,合租·景秀黔城 5居室 东南卧,清镇市, 35㎡,东南 , 低楼层 （30层）,1030 元/月,贵阳
2,整租·北大资源梦想城 1室0厅 东,观山湖区, 20㎡,东 , 高楼层 （18层）,700 元/月,贵阳
3,合租·景秀黔城 5居室 南卧,清镇市, 30㎡,南 , 低楼层 （30层）,730 元/月,贵阳
4,整租·渔安新城E组团 2室1厅 东,云岩区, 60㎡,东 , 低楼层 （35层）,1450 元/月,贵阳
5,合租·花果园M区 4居室 南卧,南明区, 18㎡,南 , 低楼层 （41层）,1350 元/月,贵阳
6,整租·玉厂路85号 3室1厅 南,南明区, 77㎡,南 , 高楼层 （8层）,1500 元/月,贵阳
7,整租·米兰春天三期 3室2厅 东南,白云区, 127㎡,东南 , 高楼层 （22层）,1500 元/月,贵阳
8,整租·中铁逸都国际B区 3室2厅 南,观山湖区, 105㎡,南 , 高楼层 （29层）,2800 元/月,贵阳
9,整租·青年路92号 3室1厅 东南,南明区, 60㎡,东南 , 中楼层 （9层）,1400 元/月,贵阳
10,整租·北大资源梦想城 3室1厅 东南,观山湖区, 125㎡,东南 , 中楼层 （18层）,3500 元/月,贵阳
11,合租·花果园L1区 4居室 南卧,南明区, 18㎡,南 , 中楼层 （41层）,1300 元/月,贵阳
12,整租·民兴巷2号 2室1厅 东南,花溪区, 80㎡,东南 , 高楼层 （7层）,1200 元/月,贵阳
13,合租·花果园一期 4居室 南卧,南明区, 9㎡,南 , 高楼层 （38层）,950 元/月,贵阳
14,整租·华宇世纪花园 2室1厅 东南,花溪区, 76㎡,东南 , 高楼层 （6层）,1500 元/月,贵阳
15,整租·中天会展城A区 1室0厅 南,观山湖区, 30㎡,南 , 低楼层 （32层）,1308 元/月,贵阳
16,整租·金融城二期A9组团四达轩 3室2厅 南,观山湖区, 138㎡,南 , 高楼层 （32层）,3580 元/月,贵阳
17,整租·未来方舟H1组团 3室2厅 南,云岩区, 126㎡,南 , 中楼层 （31层）,2600 元/月,贵阳
18,整租·花果园R1区 1室1厅 东南,南明区, 40㎡,东南 , 中楼层 （46层）,1500 元/月,贵阳
19,整租·美的林城时代北区 5室0厅 南,观山湖区, 95㎡,南 , 低楼层 （32层）,4000 元/月,贵阳
20,整租·凯发大厦 3室1厅 东,云岩区, 153㎡,东 , 高楼层 （24层）,5000 元/月,贵阳
21,合租·花果园M区 4居室 南卧,南明区, 25㎡,南 , 高楼层 （41层）,1150 元/月,贵阳
22,整租·花果园一期 3室2厅 东南,南明区, 120㎡,东南 , 低楼层 （48层）,2500 元/月,贵阳
23,整租·富力新天地 1室0厅 LOFT 北,观山湖区, 47㎡,北 , 中楼层 （18层）,1750 元/月,贵阳
24,整租·万科大都会南区 3室2厅 东南,花溪区, 89㎡,东南 , 低楼层 （35层）,2300 元/月,贵阳
25,整租·富力新天地 1室1厅 LOFT 北,观山湖区, 47㎡,北 , 低楼层 （18层）,1600 元/月,贵阳
26,整租·中铁逸都国际A区&G区 3室1厅 南,观山湖区, 90㎡,南 , 高楼层 （27层）,2800 元/月,贵阳
27,整租·富力新天地 1室1厅 LOFT 北,观山湖区, 47㎡,北 , 高楼层 （18层）,1700 元/月,贵阳
28,整租·未来方舟F4组团 1室1厅 东南,云岩区, 34㎡,东南 , 中楼层 （21层）,1500 元/月,贵阳
29,合租·花果园L1区 4居室 南卧,南明区, 18㎡,南 , 高楼层 （41层）,1250 元/月,贵阳
30,整租·恒大城 3室2厅 东南,白云区, 112㎡,东南 , 高楼层 （32层）,1800 元/月,贵阳
31,合租·景秀黔城 5居室 东南卧,清镇市, 35㎡,东南 , 低楼层 （30层）,1030 元/月,贵阳
32,整租·北大资源梦想城 1室0厅 东,观山湖区, 20㎡,东 , 高楼层 （18层）,700 元/月,贵阳
33,合租·景秀黔城 5居室 南卧,清镇市, 30㎡,南 , 低楼层 （30层）,730 元/月,贵阳
34,整租·渔安新城E组团 2室1厅 东,云岩区, 60㎡,东 , 低楼层 （35层）,1450 元/月,贵阳
35,合租·花果园M区 4居室 南卧,南明区, 18㎡,南 , 低楼层 （41层）,1350 元/月,贵阳
36,整租·玉厂路85号 3室1厅 南,南明区, 77㎡,南 , 高楼层 （8层）,1500 元/月,贵阳
37,整租·米兰春天三期 3室2厅 东南,白云区, 127㎡,东南 , 高楼层 （22层）,1500 元/月,贵阳
38,整租·中铁逸都国际B区 3室2厅 南,观山湖区, 105㎡,南 , 高楼层 （29层）,2800 元/月,贵阳
39,整租·青年路92号 3室1厅 东南,南明区, 60㎡,东南 , 中楼层 （9层）,1400 元/月,贵阳
40,整租·北大资源梦想城 3室1厅 东南,观山湖区, 125㎡,东南 , 中楼层 （18层）,3500 元/月,贵阳
41,合租·花果园L1区 4居室 南卧,南明区, 18㎡,南 , 中楼层 （41层）,1300 元/月,贵阳
42,整租·民兴巷2号 2室1厅 东南,花溪区, 80㎡,东南 , 高楼层 （7层）,1200 元/月,贵阳
43,合租·花果园一期 4居室 南卧,南明区, 9㎡,南 , 高楼层 （38层）,950 元/月,贵阳
44,整租·华宇世纪花园 2室1厅 东南,花溪区, 76㎡,东南 , 高楼层 （6层）,1500 元/月,贵阳
45,整租·中天会展城A区 1室0厅 南,观山湖区, 30㎡,南 , 低楼层 （32层）,1308 元/月,贵阳
46,整租·金融城二期A9组团四达轩 3室2厅 南,观山湖区, 138㎡,南 , 高楼层 （32层）,3580 元/月,贵阳
47,整租·未来方舟H1组团 3室2厅 南,云岩区, 126㎡,南 , 中楼层 （31层）,2600 元/月,贵阳
48,整租·花果园R1区 1室1厅 东南,南明区, 40㎡,东南 , 中楼层 （46层）,1500 元/月,贵阳
49,整租·美的林城时代北区 5室0厅 南,观山湖区, 95㎡,南 , 低楼层 （32层）,4000 元/月,贵阳
