,title,district,area,orient,floor,price,city
0,整租·亚洲城花园 3室2厅 南,西湖, 90㎡,南 , 中楼层 （6层）,5350 元/月,杭州
1,合租·融信蓝孔雀 4居室 南卧,拱墅, 20㎡,南 , 中楼层 （27层）,1680 元/月,杭州
2,整租·凤凰北苑 3室1厅 南,上城, 78㎡,南 , 低楼层 （7层）,4800 元/月,杭州
3,合租·新城峯璟 7居室 南卧,余杭, 18㎡,南 , 中楼层 （4层）,1500 元/月,杭州
4,整租·风景大院 2室1厅 南,拱墅, 87㎡,南 , 高楼层 （18层）,4680 元/月,杭州
5,整租·江干区悦郡城 1室1厅 LOFT 西,江干, 37㎡,西 , 中楼层 （11层）,4000 元/月,杭州
6,整租·海德公园 3室1厅 南,余杭, 89㎡,南 , 中楼层 （11层）,4200 元/月,杭州
7,整租·翰墨香林苑 3室2厅 南,西湖, 146㎡,南 , 低楼层 （7层）,3200 元/月,杭州
8,整租·西房拱宸外滩 3室2厅 南,余杭, 89㎡,南 , 低楼层 （30层）,3500 元/月,杭州
9,整租·杭氧和院 3室2厅 南,临安, 118㎡,南 , 低楼层 （6层）,2300 元/月,杭州
10,整租·新城璟隽公馆 3室2厅 南/北,萧山, 89㎡,南 北 , 中楼层 （19层）,5000 元/月,杭州
11,合租·雍荣华庭 4居室 东北卧,拱墅, 18㎡,东北 , 中楼层 （30层）,1500 元/月,杭州
12,整租·杉杉恒和依山郡 2室2厅 南,余杭, 91㎡,南 , 低楼层 （12层）,2000 元/月,杭州
13,合租·雍荣华庭 5居室 南卧,拱墅, 22㎡,南 , 高楼层 （30层）,1600 元/月,杭州
14,整租·和昌云潮 2室1厅 西,西湖, 42㎡,西 , 中楼层 （17层）,3200 元/月,杭州
15,整租·郡原相江公寓 3室1厅 南,江干, 89㎡,南 , 低楼层 （23层）,3800 元/月,杭州
16,整租·保利湾天地二期 2室2厅 跃层 北,钱塘新区, 97㎡,北 , 低楼层 （33层）,3500 元/月,杭州
17,整租·金域兰庭 3室2厅 南,萧山, 126㎡,南 , 中楼层 （29层）,3800 元/月,杭州
18,整租·风尚蓝湾 1室0厅 东,滨江, 43㎡,东 , 中楼层 （29层）,3000 元/月,杭州
19,整租·经建绅世郡园 2室2厅 南,余杭, 86㎡,南 , 高楼层 （25层）,2200 元/月,杭州
20,整租·万宝城 2室1厅 南,余杭, 51㎡,南 , 中楼层 （23层）,2400 元/月,杭州
21,合租·融信学院府 4居室 北卧,拱墅, 12㎡,北 , 低楼层 （18层）,1100 元/月,杭州
22,整租·德信杭州之翼 2室1厅 北,江干, 58㎡,北 , 中楼层 （16层）,5200 元/月,杭州
23,合租·雍荣华庭 4居室 南卧,拱墅, 20㎡,南 , 中楼层 （30层）,2050 元/月,杭州
24,整租·广宇西城年华 3室2厅 南,西湖, 139㎡,南 , 中楼层 （25层）,8500 元/月,杭州
25,整租·朝晖六区 2室1厅 南,下城, 46㎡,南 , 中楼层 （6层）,3000 元/月,杭州
26,整租·红杉雅园 3室2厅 南,拱墅, 49㎡,南 , 低楼层 （11层）,3500 元/月,杭州
27,整租·江干区悦郡城 1室1厅 LOFT 西,江干, 37㎡,西 , 低楼层 （11层）,3900 元/月,杭州
28,整租·绿地G合里金宸 2室2厅 北,萧山, 58㎡,北 , 中楼层 （19层）,4800 元/月,杭州
29,整租·金都城市芯宇 1室1厅 南,西湖, 54㎡,南 , 低楼层 （28层）,4800 元/月,杭州
30,整租·融信澜天 4室2厅 南/北,余杭, 109㎡,南 北 , 高楼层 （34层）,4800 元/月,杭州
31,整租·世贸丽晶城欧美中心 1室1厅,西湖, 56㎡, 1室1厅1卫 , 高楼层 （24层）,5200 元/月,杭州
32,整租·合景天峻 3室2厅 南,余杭, 92㎡,南 , 中楼层 （24层）,5900 元/月,杭州
33,合租·平安雅苑 4居室 南卧,拱墅, 20㎡,南 , 低楼层 （18层）,1600 元/月,杭州
34,整租·青山鹤岭 1室1厅 东,临安, 30㎡,东 , 高楼层 （18层）,1250 元/月,杭州
35,整租·平安雅苑 2室1厅 南,拱墅, 69㎡,南 , 高楼层 （23层）,2800 元/月,杭州
36,整租·银杏汇 3室1厅 南,滨江, 89㎡,南 , 中楼层 （15层）,7200 元/月,杭州
