,title,district,area,orient,floor,price,city
0,整租·文通雅苑 2室1厅 南,杨浦, 91㎡,南 , 低楼层 （18层）,12500 元/月,上海
1,整租·周家嘴路3523弄 2室1厅 南,杨浦, 52㎡,南 , 中楼层 （5层）,5100 元/月,上海
2,整租·唐山路1280弄 1室1厅 南,杨浦, 40㎡,南 , 中楼层 （7层）,4500 元/月,上海
3,整租·银河苑 2室1厅 南,杨浦, 98㎡,南 , 中楼层 （6层）,8700 元/月,上海
4,整租·农房万阳公寓 2室1厅 南,杨浦, 71㎡,南 , 中楼层 （21层）,9000 元/月,上海
5,整租·紫华欣苑 3室1厅 南/北,杨浦, 89㎡,南 北 , 低楼层 （18层）,8300 元/月,上海
6,整租·长阳路1900弄 2室1厅 南,杨浦, 51㎡,南 , 高楼层 （6层）,6500 元/月,上海
7,整租·东外滩1号 2室1厅 南/北,杨浦, 107㎡,南 北 , 高楼层 （28层）,12000 元/月,上海
8,整租·中环和润苑 2室1厅 南,杨浦, 75㎡,南 , 高楼层 （34层）,7800 元/月,上海
9,整租·中环和润苑 2室1厅 南,杨浦, 68㎡,南 , 低楼层 （30层）,6300 元/月,上海
10,整租·申通公寓 2室2厅 南,杨浦, 84㎡,南 , 中楼层 （24层）,8300 元/月,上海
11,整租·双阳公寓 3室2厅 南/北,杨浦, 135㎡,南 北 , 低楼层 （14层）,15000 元/月,上海
12,整租·江浦路1275弄 1室1厅 南,杨浦, 41㎡,南 , 高楼层 （6层）,4650 元/月,上海
13,整租·海尚大厦 3室2厅 南,杨浦, 170㎡,南 , 高楼层 （3层）,19000 元/月,上海
14,整租·军工路周家 1室1厅 南,杨浦, 45㎡,南 , 高楼层 （7层）,4900 元/月,上海
15,整租·平凉路1834号 1室1厅 南,杨浦, 44㎡,南 , 中楼层 （6层）,4300 元/月,上海
16,整租·宝地东花园 3室2厅 南,杨浦, 118㎡,南 , 低楼层 （26层）,15000 元/月,上海
17,整租·隆昌路542弄 4室2厅 复式 南,杨浦, 120㎡,南 , 低楼层 （3层）,15000 元/月,上海
18,整租·唐山路1380弄 1室0厅 东南,杨浦, 38㎡,东南 , 高楼层 （2层）,4000 元/月,上海
19,整租·中环和乐苑 2室1厅 南,杨浦, 68㎡,南 , 低楼层 （18层）,6500 元/月,上海
20,整租·凯阳公寓 3室2厅 南,杨浦, 156㎡,南 , 中楼层 （24层）,14500 元/月,上海
21,整租·海州路71弄 1室1厅 南,杨浦, 42㎡,南 , 中楼层 （6层）,4600 元/月,上海
22,整租·紫华欣苑 3室2厅 南,杨浦, 90㎡,南 , 低楼层 （21层）,9000 元/月,上海
23,整租·纺平大楼小区 1室0厅 南,杨浦, 45㎡,南 , 高楼层 （17层）,4000 元/月,上海
24,整租·泰鸿苑 2室1厅 南,杨浦, 100㎡,南 , 低楼层 （6层）,9000 元/月,上海
25,整租·军工路周家 1室1厅 南,杨浦, 44㎡,南 , 高楼层 （7层）,3800 元/月,上海
26,整租·中环和润苑 2室1厅 南,杨浦, 68㎡,南 , 高楼层 （30层）,6000 元/月,上海
27,整租·中环和润苑 1室0厅 南,杨浦, 40㎡,南 , 低楼层 （30层）,5200 元/月,上海
28,整租·双辽路200弄 1室0厅 南,杨浦, 38㎡,南 , 高楼层 （7层）,4500 元/月,上海
29,整租·中轩丽苑 2室1厅 南/北,杨浦, 92㎡,南 北 , 中楼层 （11层）,8800 元/月,上海
30,整租·文通雅苑 2室1厅 南,杨浦, 91㎡,南 , 低楼层 （18层）,12500 元/月,上海
31,整租·唐山路1280弄 1室1厅 南,杨浦, 40㎡,南 , 中楼层 （7层）,4500 元/月,上海
32,整租·周家嘴路3523弄 2室1厅 南,杨浦, 52㎡,南 , 中楼层 （5层）,5100 元/月,上海
33,整租·紫华欣苑 3室1厅 南/北,杨浦, 89㎡,南 北 , 低楼层 （18层）,8300 元/月,上海
34,整租·长阳路1900弄 2室1厅 南,杨浦, 51㎡,南 , 高楼层 （6层）,6500 元/月,上海
35,整租·农房万阳公寓 2室1厅 南,杨浦, 71㎡,南 , 中楼层 （21层）,9000 元/月,上海
36,整租·江浦路1275弄 1室1厅 南,杨浦, 41㎡,南 , 高楼层 （6层）,4650 元/月,上海
37,整租·海尚大厦 3室2厅 南,杨浦, 170㎡,南 , 高楼层 （3层）,19000 元/月,上海
38,整租·东外滩1号 2室1厅 南/北,杨浦, 107㎡,南 北 , 高楼层 （28层）,12000 元/月,上海
39,整租·宝地东花园 3室2厅 南,杨浦, 118㎡,南 , 低楼层 （26层）,15000 元/月,上海
40,整租·隆昌路542弄 4室2厅 复式 南,杨浦, 120㎡,南 , 低楼层 （3层）,15000 元/月,上海
41,整租·中环和润苑 2室1厅 南,杨浦, 75㎡,南 , 高楼层 （34层）,7800 元/月,上海
42,整租·中环和润苑 2室1厅 南,杨浦, 68㎡,南 , 低楼层 （30层）,6300 元/月,上海
43,整租·申通公寓 2室2厅 南,杨浦, 84㎡,南 , 中楼层 （24层）,8300 元/月,上海
44,整租·军工路周家 1室1厅 南,杨浦, 45㎡,南 , 高楼层 （7层）,4900 元/月,上海
