,title,district,area,orient,floor,price,city
0,整租·都心名苑 2室1厅 南,罗湖区, 64㎡,南 , 中楼层 （23层）,5000 元/月,深圳
1,整租·京基御景峯 1室0厅 南,南山区, 40㎡,南 , 中楼层 （54层）,4200 元/月,深圳
2,整租·金地龙城中央一期 3室2厅 东南,龙岗区, 89㎡,东南 , 高楼层 （34层）,4200 元/月,深圳
3,整租·幸福里雅居 2室2厅 东北,罗湖区, 95㎡,东北 , 中楼层 （49层）,15000 元/月,深圳
4,整租·招商依山郡 2室2厅 东南,龙岗区, 56㎡,东南 , 高楼层 （18层）,3000 元/月,深圳
5,整租·中海天钻 3室2厅 南,罗湖区, 120㎡,南 , 低楼层 （36层）,15000 元/月,深圳
6,整租·新桂花村 3室2厅 南,福田区, 90㎡,南 , 中楼层 （8层）,7300 元/月,深圳
7,整租·财富广场 2室1厅 南,福田区, 53㎡,南 , 中楼层 （28层）,8800 元/月,深圳
8,整租·鹏盛村 1室1厅 南,福田区, 32㎡,南 , 中楼层 （8层）,3000 元/月,深圳
9,整租·黄金大厦 2室2厅 东北,宝安区, 64㎡,东北 , 高楼层 （31层）,5000 元/月,深圳
10,整租·和平广场 2室1厅 西北,罗湖区, 62㎡,西北 , 低楼层 （34层）,5950 元/月,深圳
11,整租·中海天钻 3室2厅 东南,罗湖区, 121㎡,东南 , 高楼层 （35层）,19000 元/月,深圳
12,整租·嘉园 3室2厅 南,福田区, 104㎡,南 , 低楼层 （12层）,12000 元/月,深圳
13,整租·水湾1979二期 1室0厅 东南,南山区, 43㎡,东南 , 高楼层 （38层）,7600 元/月,深圳
14,整租·领航城领尚花园 1室1厅 东/东北,宝安区, 53㎡,东 东北 , 高楼层 （31层）,4300 元/月,深圳
15,整租·微棠新青年社区 2室1厅 西南,龙华区, 68㎡,西南 , 中楼层 （9层）,2599 元/月,深圳
16,整租·名居广场 2室2厅 西北,龙岗区, 66㎡,西北 , 低楼层 （30层）,4000 元/月,深圳
17,整租·恒大城市之光 1室0厅 西北,龙岗区, 39㎡,西北 , 高楼层 （44层）,2400 元/月,深圳
18,整租·东方美地苑 1室1厅 南,南山区, 35㎡,南 , 低楼层 （8层）,4900 元/月,深圳
19,整租·京基御景峯 3室2厅 西南,南山区, 90㎡,西南 , 低楼层 （55层）,7400 元/月,深圳
20,整租·招商依山郡 2室2厅 北,龙岗区, 76㎡,北 , 低楼层 （18层）,3500 元/月,深圳
21,整租·京基御景峯 3室2厅 南,南山区, 108㎡,南 , 高楼层 （57层）,8200 元/月,深圳
22,整租·君胜熙珑山 3室2厅 南,龙岗区, 89㎡,南 , 高楼层 （40层）,3500 元/月,深圳
23,整租·金地名津 3室1厅 东,福田区, 78㎡,东 , 低楼层 （32层）,7500 元/月,深圳
24,整租·龙光玖钻 1室1厅 北,龙华区, 39㎡,北 , 高楼层 （26层）,4800 元/月,深圳
25,整租·京基御景峯 4室2厅 东南,南山区, 149㎡,东南 , 低楼层 （57层）,11500 元/月,深圳
26,整租·金地龙城中央二期 1室1厅 东,龙岗区, 40㎡,东 , 低楼层 （41层）,2300 元/月,深圳
27,合租·景林花园 5居室 西南卧,福田区, 20㎡,西南 , 低楼层 （8层）,2400 元/月,深圳
28,整租·金怡华庭 3室2厅 东南,福田区, 76㎡,东南 , 低楼层 （31层）,7500 元/月,深圳
29,整租·微棠新青年社区 1室1厅 南,龙华区, 45㎡,南 , 高楼层 （9层）,1699 元/月,深圳
30,整租·万象天成 2室2厅 东南,龙岗区, 73㎡,东南 , 中楼层 （26层）,3200 元/月,深圳
31,整租·微棠新青年社区 1室0厅 东/东南/南/西南/西,龙华区, 32㎡,东 东南 南 西南 西 , 高楼层 （9层）,1299 元/月,深圳
32,整租·京基东方颐园 2室1厅 西北,罗湖区, 43㎡,西北 , 低楼层 （33层）,4200 元/月,深圳
33,整租·启迪协信科技园 1室1厅 东南,龙岗区, 31㎡,东南 , 中楼层 （22层）,2380 元/月,深圳
34,整租·欧意轩花园 2室2厅 南/北,龙岗区, 67㎡,南 北 , 高楼层 （6层）,2800 元/月,深圳
35,整租·京基御景峯 1室0厅 南,南山区, 40㎡,南 , 中楼层 （54层）,4200 元/月,深圳
36,整租·新安湖花园 3室2厅 西南,宝安区, 97㎡,西南 , 低楼层 （30层）,7700 元/月,深圳
37,整租·金地名津 2室1厅 北,福田区, 58㎡,北 , 低楼层 （31层）,6500 元/月,深圳
38,整租·天健世纪花园 4室2厅 南/西南,福田区, 146㎡,南 西南 , 中楼层 （30层）,19000 元/月,深圳
39,整租·金地名津 1室1厅 北,福田区, 43㎡,北 , 中楼层 （32层）,6300 元/月,深圳
