,title,district,area,orient,floor,price,city
0,整租·绿朗时光 2室1厅 南,开发区, 90㎡,南 , 高楼层 （32层）,1300 元/月,石家庄
1,合租·盛世长安 4居室 东卧,长安, 18㎡,东 , 高楼层 （24层）,860 元/月,石家庄
2,整租·阳光里 2室1厅 东/北,新华, 61㎡,东 北 , 中楼层 （18层）,1200 元/月,石家庄
3,合租·君晓家园 4居室 南卧,桥西, 30㎡,南 , 高楼层 （7层）,700 元/月,石家庄
4,整租·御江景城 2室2厅 南,长安, 85㎡,南 , 低楼层 （33层）,1200 元/月,石家庄
5,整租·万达广场C区 2室1厅 南,裕华, 80㎡,南 , 高楼层 （33层）,2150 元/月,石家庄
6,整租·新源国际财富中心 1室1厅 南,长安, 44㎡,南 , 中楼层 （28层）,1900 元/月,石家庄
7,整租·龙海南苑 2室2厅 北,鹿泉, 82㎡,北 , 中楼层 （34层）,1000 元/月,石家庄
8,整租·都市怡景 3室2厅 南/北,长安, 115㎡,南 北 , 高楼层 （33层）,1600 元/月,石家庄
9,整租·绿园百合花园 2室2厅 南,裕华, 97㎡,南 , 高楼层 （27层）,1800 元/月,石家庄
10,整租·雅清苑 2室2厅 南,裕华, 94㎡,南 , 中楼层 （6层）,2000 元/月,石家庄
11,整租·东南智汇城 2室2厅 南/北,裕华, 85㎡,南 北 , 低楼层 （24层）,1600 元/月,石家庄
12,整租·绿地中山公馆 1室1厅 北,桥西, 32㎡,北 , 高楼层 （28层）,1500 元/月,石家庄
13,合租·玉村馨苑 3居室 南卧,桥西, 20㎡,南 , 中楼层 （32层）,510 元/月,石家庄
14,整租·同祥城C区 4室2厅 南/北,开发区, 187㎡,南 北 , 高楼层 （34层）,3900 元/月,石家庄
15,整租·卓达太阳城青年之都 1室0厅 北,栾城, 38㎡,北 , 低楼层 （33层）,700 元/月,石家庄
16,整租·阳光花园 3室2厅 南,正定, 95㎡,南 , 高楼层 （7层）,1600 元/月,石家庄
17,整租·瑞城F区 3室2厅 南,长安, 130㎡,南 , 低楼层 （33层）,4000 元/月,石家庄
18,整租·格调春天 3室2厅 南,桥西, 121㎡,南 , 低楼层 （33层）,2500 元/月,石家庄
19,整租·北城山水 2室2厅 南,长安, 93㎡,南 , 中楼层 （30层）,1500 元/月,石家庄
20,整租·联邦东方明珠 2室2厅 东南,裕华, 101㎡,东南 , 中楼层 （36层）,2100 元/月,石家庄
21,合租·瑞城B区 4居室 北卧,长安, 18㎡,北 , 中楼层 （33层）,850 元/月,石家庄
22,整租·冠诚苑 2室2厅 东/南,长安, 92㎡,东 南 , 中楼层 （27层）,2700 元/月,石家庄
23,合租·瑞城E区 5居室 南卧,长安, 28㎡,南 , 低楼层 （9层）,1050 元/月,石家庄
24,整租·上东城 3室2厅 南/西南,长安, 128㎡,南 西南 , 高楼层 （34层）,2600 元/月,石家庄
25,整租·天海誉天下B区 2室2厅 南,裕华, 96㎡,南 , 高楼层 （34层）,2820 元/月,石家庄
26,整租·同祥城 2室1厅 东/东南,开发区, 85㎡,东 东南 , 高楼层 （32层）,1000 元/月,石家庄
27,整租·恒大御景半岛1号公寓 1室1厅 东,长安, 36㎡,东 , 低楼层 （31层）,1100 元/月,石家庄
28,整租·阿尔卡迪亚荣景园 1室1厅 南,长安, 54㎡,南 , 中楼层 （33层）,1800 元/月,石家庄
29,整租·恒大御景半岛1号公寓 1室1厅 东,长安, 36㎡,东 , 高楼层 （30层）,1100 元/月,石家庄
30,整租·绿朗时光 2室1厅 南,开发区, 90㎡,南 , 高楼层 （32层）,1300 元/月,石家庄
