,title,district,area,orient,floor,price,city
0,整租·怡和·优盘 2室1厅 南,迎泽区, 105㎡,南 , 低楼层 （33层）,3000 元/月,太原
1,合租·龙瑞苑 4居室 北卧,小店区, 35㎡,北 , 中楼层 （32层）,800 元/月,太原
2,整租·新视界 1室1厅 东,迎泽区, 60㎡,东 , 中楼层 （25层）,1650 元/月,太原
3,合租·城市密码小区 2居室 东卧,小店区, 50㎡,东 , 高楼层 （16层）,1300 元/月,太原
4,整租·老军营西区 1室1厅 南,迎泽区, 30㎡,南 , 中楼层 （4层）,1100 元/月,太原
5,合租·领秀长风天秀园 3居室 北卧,迎泽区, 50㎡,北 , 中楼层 （34层）,1100 元/月,太原
6,整租·铁三局建安院 2室1厅 南/北,迎泽区, 61㎡,南 北 , 低楼层 （6层）,1650 元/月,太原
7,整租·金色维也纳滨河小区 2室1厅 南,小店区, 96㎡,南 , 低楼层 （33层）,2800 元/月,太原
8,整租·丽都绿城 3室1厅 南,迎泽区, 108㎡,南 , 中楼层 （6层）,1500 元/月,太原
9,整租·保利茉莉公馆 4室2厅 南/北,小店区, 163㎡,南 北 , 高楼层 （18层）,4000 元/月,太原
10,整租·世纪阳光（祥和苑） 2室2厅 东/西,小店区, 96㎡,东 西 , 高楼层 （6层）,1350 元/月,太原
11,整租·当代MOMA沿湖城 3室2厅 南,晋源区, 105㎡,南 , 高楼层 （33层）,2500 元/月,太原
12,整租·龙福嘉苑 2室1厅 南,杏花岭区, 74㎡,南 , 低楼层 （6层）,900 元/月,太原
13,整租·嘉泽龙城苑 3室2厅 南,迎泽区, 108㎡,南 , 高楼层 （27层）,2250 元/月,太原
14,整租·河北里社区 2室1厅 南,杏花岭区, 55㎡,南 , 低楼层 （6层）,800 元/月,太原
15,整租·富力盈通国际公寓 2室1厅 南,杏花岭区, 88㎡,南 , 高楼层 （27层）,1600 元/月,太原
16,整租·纺织苑·A区 3室1厅 南,万柏林区, 86㎡,南 , 低楼层 （33层）,1600 元/月,太原
