,title,district,area,orient,floor,price,city
0,整租·西铁大明宫小区 2室1厅 南/北,未央, 65㎡,南 北 , 高楼层 （7层）,1300 元/月,西安
1,合租·世纪广场小区 4居室 西卧,新城区, 15㎡,西 , 中楼层 （27层）,780 元/月,西安
2,整租·自然界云栖 3室2厅 南/北,未央, 123㎡,南 北 , 高楼层 （27层）,2800 元/月,西安
3,合租·紫薇永和坊 5居室 北卧,雁塔, 15㎡,北 , 高楼层 （26层）,550 元/月,西安
4,整租·紫园sunny 2室1厅 北,长安, 89㎡,北 , 低楼层 （28层）,2800 元/月,西安
5,合租·西水铂公馆 4居室 南卧,雁塔, 32㎡,南 , 中楼层 （25层）,1380 元/月,西安
6,整租·青门小区西区 2室1厅 南/北,莲湖, 60㎡,南 北 , 中楼层 （6层）,1300 元/月,西安
7,整租·岳家寨小区 2室1厅 南,雁塔, 90㎡,南 , 低楼层 （26层）,2200 元/月,西安
8,整租·碧桂园凤凰城·豪园 3室2厅 南/北,未央, 130㎡,南 北 , 高楼层 （17层）,2200 元/月,西安
9,整租·金辉环球广场 1室1厅 东,雁塔, 40㎡,东 , 高楼层 （24层）,3000 元/月,西安
10,整租·曦源温泉小区 3室1厅 东/东南/南/西南/西,未央, 130㎡,东 东南 南 西南 西 , 中楼层 （7层）,1750 元/月,西安
11,整租·中交长盈华府 2室1厅 南,新城区, 88㎡,南 , 中楼层 （31层）,2800 元/月,西安
12,整租·紫荆苑 2室2厅 西,碑林, 111㎡,西 , 高楼层 （15层）,2800 元/月,西安
13,整租·中交长盈华府 2室2厅 南,新城区, 71㎡,南 , 中楼层 （32层）,2700 元/月,西安
14,整租·启航馨苑 2室1厅 南,未央, 75㎡,南 , 中楼层 （33层）,1251 元/月,西安
15,合租·水润坊 5居室 南卧,未央, 39㎡,南 , 高楼层 （30层）,1000 元/月,西安
16,整租·启航馨苑 2室1厅 南/北,未央, 75㎡,南 北 , 高楼层 （33层）,1400 元/月,西安
17,合租·爱菊花园 4居室 南卧,莲湖, 21㎡,南 , 低楼层 （11层）,750 元/月,西安
18,整租·嘉华新苑 3室2厅 南,长安, 135㎡,南 , 低楼层 （28层）,2200 元/月,西安
19,整租·中交长盈华府 3室2厅 南,新城区, 124㎡,南 , 高楼层 （18层）,3900 元/月,西安
20,整租·金地南湖艺境一期 3室2厅 南,雁塔, 116㎡,南 , 中楼层 （34层）,2800 元/月,西安
21,合租·西水铂公馆 4居室 北卧,雁塔, 24㎡,北 , 中楼层 （25层）,1150 元/月,西安
22,整租·恒大翡翠龙庭 3室1厅 南,莲湖, 109㎡,南 , 中楼层 （33层）,2100 元/月,西安
23,合租·水润坊 5居室 南卧,未央, 39㎡,南 , 高楼层 （30层）,900 元/月,西安
24,整租·曲江6号 3室2厅 南/北,雁塔, 140㎡,南 北 , 高楼层 （15层）,5250 元/月,西安
25,合租·水润坊 5居室 南卧,未央, 28㎡,南 , 高楼层 （30层）,750 元/月,西安
26,整租·旗远锦樾 3室2厅 南/北,雁塔, 85㎡,南 北 , 低楼层 （32层）,4500 元/月,西安
27,合租·水润坊 5居室 北卧,未央, 23㎡,北 , 高楼层 （30层）,700 元/月,西安
28,整租·中海曲江大城 4室2厅 南,雁塔, 210㎡,南 , 低楼层 （6层）,7000 元/月,西安
29,合租·华城国际小区 5居室 北卧,雁塔, 15㎡,北 , 高楼层 （26层）,570 元/月,西安
30,整租·交大曲江新村北苑 2室2厅 南/北,雁塔, 103㎡,南 北 , 低楼层 （12层）,2300 元/月,西安
31,合租·增源航都绿洲 4居室 南卧,长安, 30㎡,南 , 高楼层 （30层）,800 元/月,西安
32,整租·西港雅苑 4室2厅 南/北,雁塔, 176㎡,南 北 , 中楼层 （32层）,5600 元/月,西安
33,合租·东窑坊 5居室 东卧,碑林, 13㎡,东 , 高楼层 （33层）,588 元/月,西安
34,整租·文景观园 3室2厅 南/北,未央, 116㎡,南 北 , 低楼层 （27层）,1800 元/月,西安
35,合租·东窑坊 5居室 东北卧,碑林, 16㎡,东北 , 高楼层 （33层）,501 元/月,西安
36,整租·国家开发银行大厦 2室2厅 南,雁塔, 410㎡,南 , 低楼层 （28层）,23000 元/月,西安
37,整租·曲江观唐 3室2厅 南/北,雁塔, 140㎡,南 北 , 低楼层 （33层）,3600 元/月,西安
38,整租·中铁缤纷南郡 3室1厅 南/北,雁塔, 180㎡,南 北 , 中楼层 （21层）,8000 元/月,西安
39,整租·欧亚国际 1室1厅 南,未央, 240㎡,南 , 低楼层 （18层）,19000 元/月,西安
40,整租·凯德汇豪云邸 1室1厅 南,雁塔, 63㎡,南 , 高楼层 （25层）,6000 元/月,西安
41,整租·新西蓝二期 2室1厅 东北,雁塔, 97㎡,东北 , 低楼层 （33层）,3800 元/月,西安
42,整租·曲江兰亭 3室2厅 南/北,雁塔, 148㎡,南 北 , 低楼层 （11层）,4700 元/月,西安
43,合租·万科城市之光北区 4居室 东卧,雁塔, 50㎡,东 , 中楼层 （32层）,1600 元/月,西安
44,整租·檀香园 4室2厅 南/北,灞桥, 150㎡,南 北 , 高楼层 （11层）,3500 元/月,西安
45,整租·中交长盈华府 2室2厅 南,新城区, 65㎡,南 , 低楼层 （30层）,2600 元/月,西安
46,整租·万达公馆 5室2厅 南/北,未央, 230㎡,南 北 , 高楼层 （30层）,9500 元/月,西安
47,合租·紫薇尚层 3居室 东南卧,雁塔, 26㎡,东南 , 高楼层 （29层）,1050 元/月,西安
48,整租·雅荷中环大厦 3室2厅 南,未央, 196㎡,南 , 高楼层 （22层）,5500 元/月,西安
49,合租·盛龙广场太白苑 4居室 北卧,碑林, 10㎡,北 , 高楼层 （28层）,600 元/月,西安
50,整租·金辉世界城A区 3室2厅 南/北,雁塔, 123㎡,南 北 , 高楼层 （34层）,4000 元/月,西安
51,合租·盛龙广场太白苑 4居室 西卧,碑林, 20㎡,西 , 高楼层 （28层）,880 元/月,西安
52,整租·蔚蓝人家(东二环北段) 3室2厅 南/北,未央, 120㎡,南 北 , 低楼层 （6层）,2800 元/月,西安
53,合租·御笔华章小区 3居室 东卧,莲湖, 22㎡,东 , 高楼层 （31层）,1000 元/月,西安
54,整租·凤城六零 3室2厅 南/西南,未央, 120㎡,南 西南 , 高楼层 （6层）,2650 元/月,西安
55,合租·御笔华章小区 4居室 东南卧,莲湖, 25㎡,东南 , 高楼层 （31层）,1450 元/月,西安
56,整租·凯威大厦 1室0厅 南,雁塔, 590㎡,南 , 低楼层 （25层）,47200 元/月,西安
57,整租·高新水晶城 2室1厅 东北,雁塔, 74㎡,东北 , 高楼层 （28层）,4100 元/月,西安
58,整租·兴盛家园 3室1厅 南/北,莲湖, 118㎡,南 北 , 低楼层 （32层）,2200 元/月,西安
59,合租·后村嘉园 4居室 西南卧,雁塔, 18㎡,西南 , 中楼层 （32层）,700 元/月,西安
60,整租·宏府鹍翔九天 3室2厅 南/北,莲湖, 100㎡,南 北 , 低楼层 （33层）,2400 元/月,西安
61,合租·东窑坊 5居室 南卧,碑林, 15㎡,南 , 中楼层 （33层）,650 元/月,西安
62,整租·海星城市广场 3室0厅 北,雁塔, 337㎡,北 , 低楼层 （23层）,18535 元/月,西安
63,合租·万科城市之光北区 5居室 南卧,雁塔, 25㎡,南 , 高楼层 （33层）,1160 元/月,西安
64,整租·爱蓝堡 3室2厅 南/北,长安, 138㎡,南 北 , 中楼层 （11层）,2300 元/月,西安
65,合租·曹家庙社区 5居室 南卧,未央, 18㎡,南 , 低楼层 （31层）,830 元/月,西安
66,整租·逸翠园一期 3室1厅 南,雁塔, 140㎡,南 , 中楼层 （18层）,5300 元/月,西安
67,整租·招商依云曲江 3室2厅 南/北,雁塔, 128㎡,南 北 , 高楼层 （32层）,1700 元/月,西安
68,整租·中华世纪城 4室2厅 南/北,雁塔, 150㎡,南 北 , 低楼层 （11层）,5200 元/月,西安
69,整租·唐都温泉花园 2室1厅 南/北,莲湖, 100㎡,南 北 , 高楼层 （6层）,2000 元/月,西安
