,title,district,area,orient,floor,price,city
0,整租·吴庄花园 2室1厅 南,泉山区, 60㎡,南 , 中楼层 （7层）,1300 元/月,徐州
1,独栋·泊寓 新里程社区店 B户型 开间,仅剩3间 , 38㎡,3间在租 , 1室0厅1卫,1500-1789 元/月,徐州
2,整租·阿尔卡迪亚A区 3室2厅 南,泉山区, 143㎡,南 , 中楼层 （13层）,3250 元/月,徐州
3,独栋·泊寓 新里程社区店 F户型 开间,仅剩2间 , 49㎡,2间在租 , 1室0厅1卫,2019-2039 元/月,徐州
4,整租·云龙华府二期 1室1厅 南,云龙区, 46㎡,南 , 高楼层 （20层）,1500 元/月,徐州
5,独栋·泊寓 新里程社区店 B-1户型 开间,仅剩2间 , 36㎡,2间在租 , 1室0厅1卫,1779-1799 元/月,徐州
6,整租·SOHO时代广场 2室1厅 南,泉山区, 55㎡,南 , 高楼层 （21层）,2200 元/月,徐州
7,整租·SOHO时代广场 2室1厅 东南,泉山区, 55㎡,东南 , 中楼层 （21层）,2300 元/月,徐州
8,整租·SOHO时代广场 2室1厅 西南,泉山区, 55㎡,西南 , 中楼层 （21层）,2100 元/月,徐州
9,整租·和平壹号三期 3室2厅 南/北,云龙区, 108㎡,南 北 , 中楼层 （22层）,2600 元/月,徐州
10,整租·和平小区(泉山区) 1室0厅 南,泉山区, 35㎡,南 , 中楼层 （7层）,800 元/月,徐州
11,独栋·泊寓 新里程社区店 E-3户型 开间,仅剩1间 , 32㎡,1间在租 , 1室0厅1卫,1659 元/月,徐州
12,整租·荣盛花语城东区 3室2厅 南,泉山区, 134㎡,南 , 低楼层 （33层）,1800 元/月,徐州
13,独栋·泊寓 新里程社区店 D-1户型 开间,仅剩2间 , 29㎡,2间在租 , 1室0厅1卫,1479-1499 元/月,徐州
14,整租·湖滨西村 2室1厅 南,泉山区, 65㎡,南 , 低楼层 （7层）,2300 元/月,徐州
15,整租·振兴工程小区 2室1厅 南/北,泉山区, 70㎡,南 北 , 中楼层 （5层）,1300 元/月,徐州
16,整租·合群小区 3室2厅 南,泉山区, 90㎡,南 , 低楼层 （7层）,1600 元/月,徐州
17,整租·绿地国际花都 3室2厅 南/北,新城区, 144㎡,南 北 , 中楼层 （24层）,3500 元/月,徐州
18,整租·绿地国际花都 2室2厅 南,新城区, 92㎡,南 , 低楼层 （24层）,1800 元/月,徐州
19,合租·万科新都会 8居室 南卧,铜山区, 20㎡,南 , 低楼层 （28层）,780 元/月,徐州
20,整租·荣盛花语城东区 3室2厅 南,泉山区, 135㎡,南 , 中楼层 （28层）,2200 元/月,徐州
21,独栋·泊寓 新里程社区店 C户型 开间,仅剩3间 , 35㎡,3间在租 , 1室0厅1卫,1500-1859 元/月,徐州
22,整租·云龙华府一期 1室0厅 北,云龙区, 25㎡,北 , 中楼层 （20层）,700 元/月,徐州
23,独栋·泊寓 新里程社区店 A户型 开间,32㎡ ,15间在租, 1室0厅1卫, 1室0厅1卫,1400-1739 元/月,徐州
24,整租·文泰康城 1室0厅 南,铜山区, 15㎡,南 , 低楼层 （1层）,800 元/月,徐州
25,独栋·泊寓 淮海天地店 D5（西） 开间,仅剩1间 , 40㎡,1间在租 , 1室0厅1卫,1870 元/月,徐州
